0.23,1,220.2,-0.01,0.03,16,-85,BEND,1.01;0.37;0.26;0.22;0.21;0.26;0.41;1.26;3.15;1.22;0.83;0.71;0.70;0.83;1.29;3.97,tick=149201 goal=0 lap=0 last=0.0 best=0.0
0.51,2,225.5,0.04,-0.04,16,-85,BEND,1.03;0.39;0.27;0.22;0.20;0.27;0.41;1.25;3.22;1.21;0.82;0.70;0.71;0.86;1.30;3.90,tick=149229 goal=0 lap=0 last=0.0 best=0.0
0.79,3,214.3,0.06,-0.12,16,-85,BEND,1.23;0.39;0.28;0.20;0.22;0.26;0.37;0.98;4.00;1.31;0.86;0.70;0.70;0.83;1.21;3.21,tick=149257 goal=0 lap=0 last=0.0 best=0.0
1.07,4,213.5,0.11,-0.15,16,-85,BEND,2.18;0.45;0.28;0.22;0.20;0.25;0.33;0.73;6.00;1.49;0.91;0.74;0.71;0.81;1.10;2.42,tick=149283 goal=0 lap=0 last=0.0 best=0.0
1.35,5,205.8,0.12,-0.21,16,-85,BEND,6.00;0.57;0.28;0.21;0.19;0.23;0.28;0.53;6.00;1.89;1.01;0.75;0.71;0.77;0.99;1.79,tick=149314 goal=0 lap=0 last=0.0 best=0.0
1.63,6,197.1,0.16,-0.25,20,-48.759999999999984,FWD,4.79;0.87;0.35;0.25;0.20;0.22;0.26;0.41;1.45;2.87;1.15;0.83;0.70;0.70;0.89;1.37,tick=149342 goal=0 lap=0 last=0.0 best=0.0
1.91,7,189.4,0.17,-0.17,30,-47.01,FWD,2.51;2.01;0.49;0.30;0.23;-1.00;0.27;0.38;0.85;5.86;1.38;0.87;0.69;0.70;0.79;1.11,tick=149370 goal=0 lap=0 last=0.0 best=0.0
2.20,8,182.6,0.22,-0.22,20,-37.24,FWD,1.74;6.00;0.67;0.37;0.29;0.26;0.30;0.40;0.73;6.00;1.63;0.91;0.69;0.65;0.70;0.92,tick=149398 goal=0 lap=0 last=0.0 best=0.0
2.48,9,179.3,0.27,-0.18,16,-22.56,BEND,1.24;5.85;1.11;0.51;0.36;0.32;0.34;0.41;0.68;3.27;2.06;0.94;0.68;0.60;0.61;0.76,tick=149426 goal=0 lap=0 last=0.0 best=0.0
2.76,10,175.7,0.27,-0.13,16,45.08,BEND,0.92;2.70;1.99;0.71;0.48;0.41;0.40;0.47;0.71;2.09;2.56;0.92;0.62;0.53;0.53;0.63,tick=149454 goal=0 lap=0 last=0.0 best=0.0
3.04,11,169.7,0.25,0.23,16,58.12,BEND,0.81;2.28;2.40;0.84;0.57;0.48;0.50;0.58;0.88;2.54;2.13;0.80;0.51;0.45;0.46;0.52,tick=149482 goal=0 lap=0 last=0.0 best=0.0
3.32,12,181.4,0.26,0.28,16,68.28,BEND,0.87;5.97;1.62;0.81;0.62;0.54;0.60;0.74;1.31;6.00;1.08;0.54;0.41;0.38;0.40;0.48,tick=149510 goal=0 lap=0 last=0.0 best=0.0
3.60,13,191.8,0.28,0.36,16,78.03999999999999,BEND,1.22;4.54;1.19;0.76;0.61;0.59;0.70;0.98;2.35;2.34;0.63;0.42;0.30;0.33;0.34;0.54,tick=149538 goal=0 lap=0 last=0.0 best=0.0
3.88,14,204.6,0.26,0.38,16,81.48,BEND,4.37;1.95;0.95;0.70;0.61;0.67;0.83;1.41;6.00;0.90;0.44;0.34;0.28;0.30;0.38;0.66,tick=149566 goal=0 lap=0 last=0.0 best=0.0
4.16,15,218.8,0.26,0.45,30,23.900000000000002,FWD,3.42;1.14;0.75;0.63;0.61;0.73;1.09;2.94;1.67;0.57;0.36;0.29;0.31;0.35;0.53;1.45,tick=149592 goal=0 lap=0 last=0.0 best=0.0
4.44,16,222.3,0.28,0.12,20,23.544999999999995,FWD,1.58;0.83;0.62;0.57;0.62;0.81;1.40;5.99;0.98;0.50;0.39;0.32;0.36;0.47;0.86;6.00,tick=149622 goal=0 lap=0 last=0.0 best=0.0
4.72,17,229.5,0.31,0.14,16,6.480000000000001,BEND,1.17;0.67;0.54;0.50;0.54;0.74;1.52;5.98;0.96;0.56;0.45;0.42;0.46;0.59;1.24;6.00,tick=149650 goal=0 lap=0 last=0.0 best=0.0
5.00,18,231.6,0.31,0.05,16,-59.56,BEND,0.87;0.56;0.42;0.42;0.49;0.68;1.53;4.29;1.01;0.61;0.53;0.48;0.55;0.79;1.79;3.80,tick=149678 goal=0 lap=0 last=0.0 best=0.0
5.28,19,232.1,0.30,-0.31,16,-72.92,BEND,0.79;0.46;0.37;0.35;0.38;0.51;1.07;5.98;1.30;0.77;0.62;0.58;0.66;0.87;1.72;5.38,tick=149707 goal=0 lap=0 last=0.0 best=0.0
5.56,20,215.3,0.29,-0.45,16,-82.84,BEND,1.24;0.51;0.34;0.29;0.30;0.35;0.54;1.88;2.66;1.06;0.73;0.64;0.66;0.76;1.21;4.05,tick=149735 goal=0 lap=0 last=0.0 best=0.0
5.84,21,203.5,0.29,-0.45,16,-83.72,BEND,6.00;0.74;0.38;0.27;0.28;0.30;0.38;0.67;6.00;1.72;0.93;0.69;0.63;0.70;0.90;1.65,tick=149763 goal=0 lap=0 last=0.0 best=0.0
6.12,22,187.9,0.27,-0.46,20,-25.425,FWD,2.28;2.54;0.60;0.40;0.29;0.29;0.32;0.47;1.10;5.17;1.25;0.80;0.65;0.62;0.71;1.00,tick=149791 goal=0 lap=0 last=0.0 best=0.0
6.41,23,179.7,0.28,-0.13,16,-19.679999999999996,BEND,1.25;6.00;1.17;0.55;0.39;0.34;0.39;0.48;0.77;4.48;1.82;0.86;0.65;0.58;0.59;0.73,tick=149819 goal=0 lap=0 last=0.0 best=0.0
6.69,24,177.2,0.29,-0.10,16,51.64,BEND,0.93;3.17;1.85;0.75;0.51;0.44;0.45;0.54;0.82;2.83;2.06;0.83;0.55;0.48;0.49;0.58,tick=149847 goal=0 lap=0 last=0.0 best=0.0
6.97,25,177.1,0.29,0.29,16,64.12,BEND,0.80;2.86;2.09;0.86;0.59;0.52;0.53;0.64;1.02;-1.00;1.61;0.67;0.47;0.41;0.41;0.51,tick=149875 goal=0 lap=0 last=0.0 best=0.0
7.25,26,185.5,0.27,0.36,16,75.47999999999999,BEND,0.95;6.00;1.41;0.80;0.63;0.58;0.64;0.86;1.67;5.99;0.78;0.46;0.35;0.32;0.38;0.48,tick=149903 goal=0 lap=0 last=0.0 best=0.0
7.53,27,197.5,0.28,0.44,16,83.32000000000001,BEND,2.01;2.55;1.05;0.74;0.64;0.67;0.78;1.18;4.26;1.22;0.50;0.35;0.29;0.28;0.36;0.57,tick=149931 goal=0 lap=0 last=0.0 best=0.0
7.81,28,208.6,0.26,0.49,20,23.744999999999997,FWD,6.00;1.35;0.82;0.66;0.63;0.70;0.97;2.11;3.16;0.61;0.37;0.31;0.30;0.30;0.46;0.96,tick=149959 goal=0 lap=0 last=0.0 best=0.0
