rev b12=0.11 b0=0.15 d6=0 h=75.7
rev b12=0.13 b0=0.16 d6=0 h=70.8
rev b12=0.12 b0=0.16 d6=0 h=73.0
rev b12=0.12 b0=0.20 d6=0 h=74.0
rev b12=0.11 b0=0.22 d6=0 h=78.6
rev b12=0.11 b0=0.24 d6=0 h=76.2
rev b12=0.10 b0=0.36 d6=0 h=80.0
rev b12=0.11 b0=0.40 d6=0 h=77.9
rev b12=0.08 b0=0.42 d6=0 h=77.9
rev b12=0.09 b0=0.49 d6=0 h=78.2
rev b12=0.09 b0=0.52 d6=0 h=81.9
rev b12=0.10 b0=0.80 d6=0 h=82.5
rev b12=0.14 b0=0.83 d6=0 h=83.4
rev b12=0.11 b0=0.90 d6=0 h=84.5
rev b12=0.16 b0=0.91 d6=0 h=83.8
rev b12=0.15 b0=0.97 d6=0 h=79.5
rev b12=0.16 b0=1.03 d6=0 h=81.2
rev b12=0.16 b0=1.79 d6=0 h=89.6
rev b12=0.25 b0=1.81 d6=0 h=82.1
rev b12=3.00 b0=1.84 d6=0 h=82.6
phase1 done ok= True d6= 0
turn: True h= 16.8 scan= [0.86, 0.404, -1.0, 2.13, 1.07, 0.558, 0.477, 0.366, 0.422, 0.619, 0.979, 0.946, 0.961, 0.366, 0.687, 3.0] d6= 0
n h=17 f=0.50 l=1.07 r=0.96 d6=0
n h=22 f=0.51 l=1.06 r=0.95 d6=0
n h=23 f=0.52 l=1.04 r=0.96 d6=0
n h=21 f=0.54 l=1.07 r=0.93 d6=0
n h=24 f=0.50 l=1.10 r=0.94 d6=0
n h=23 f=0.49 l=1.43 r=0.93 d6=0
n h=21 f=0.49 l=1.47 r=0.94 d6=0
n h=17 f=0.49 l=1.54 r=0.94 d6=0
n h=20 f=0.67 l=1.80 r=0.34 d6=0
n h=14 f=0.67 l=1.82 r=0.35 d6=0
n h=18 f=0.62 l=2.18 r=0.35 d6=0
n h=13 f=0.61 l=2.17 r=0.34 d6=0
n h=10 f=1.29 l=2.12 r=0.34 d6=0
n h=13 f=0.55 l=2.07 r=0.32 d6=0
n h=14 f=0.53 l=2.06 r=0.32 d6=0
n h=11 f=0.52 l=0.24 r=0.30 d6=0
n h=8 f=0.48 l=0.23 r=0.30 d6=0
n h=8 f=0.53 l=0.20 r=0.33 d6=0
n h=9 f=0.55 l=0.19 r=0.34 d6=0
n h=4 f=0.55 l=0.19 r=0.39 d6=0
n h=0 f=0.71 l=0.23 r=0.39 d6=0
n h=6 f=0.68 l=0.25 r=0.41 d6=0
n h=3 f=0.66 l=0.27 r=0.43 d6=0
n h=1 f=0.64 l=0.26 r=0.41 d6=0
n h=4 f=0.63 l=0.26 r=0.40 d6=0
n h=3 f=0.58 l=0.21 r=0.38 d6=0
n h=2 f=0.55 l=0.19 r=0.35 d6=0
n h=359 f=0.54 l=0.18 r=0.34 d6=0
n h=1 f=0.53 l=0.19 r=0.33 d6=0
n h=359 f=0.74 l=0.20 r=0.35 d6=0
n h=358 f=0.72 l=0.20 r=0.35 d6=0
n h=358 f=0.72 l=0.20 r=0.36 d6=0
n h=0 f=0.72 l=0.22 r=0.37 d6=0
