turn east: True h= 79.4
E b0=0.43 b8=0.86 d6=0 d5=0 h=79
E b0=0.44 b8=0.88 d6=0 d5=0 h=80
E b0=0.44 b8=0.89 d6=0 d5=0 h=77
E b0=0.39 b8=0.92 d6=0 d5=0 h=78
E b0=0.40 b8=0.92 d6=0 d5=0 h=77
E b0=0.40 b8=0.94 d6=0 d5=0 h=78
E b0=0.39 b8=0.96 d6=0 d5=0 h=81
E b0=0.37 b8=0.98 d6=0 d5=0 h=81
E b0=0.37 b8=0.99 d6=0 d5=0 h=83
E b0=0.36 b8=1.01 d6=0 d5=0 h=79
E b0=0.33 b8=1.03 d6=0 d5=0 h=79
E b0=0.34 b8=1.06 d6=0 d5=0 h=83
E b0=0.32 b8=1.07 d6=0 d5=0 h=82
E b0=0.31 b8=1.08 d6=0 d5=0 h=84
E b0=0.29 b8=1.12 d6=0 d5=0 h=88
E b0=0.26 b8=1.13 d6=0 d5=0 h=81
E b0=0.25 b8=1.15 d6=0 d5=0 h=84
E b0=0.26 b8=1.13 d6=0 d5=0 h=84
E b0=0.23 b8=1.17 d6=0 d5=0 h=86
E blocked/bump f= 0.238 d6= 0
W blocked/bump f= 1.176 d6= 0
final scan [0.238, 1.918, 0.892, 0.679, 0.584, 0.571, 0.732, 1.237, 1.176, 0.504, 0.701, 0.968, 2.999, 0.135, 0.104, 0.123]
