01:50:43 === goto east start ===
01:50:43 pos=(0.00,0.00) d5=0.60
01:50:43 pos=(-0.00,-0.00) h=24 tick=689283 goal=0 here=0 d5=0.618 f=0.42
01:50:45 pos=(0.25,0.11) d5=0.65
01:50:46 pos=(0.25,0.11) h=35 tick=689509 goal=0 here=0 d5=0.657 f=0.30
01:50:46 pos=(0.26,0.12) h=48 tick=689583 goal=0 here=0 d5=0.639 f=0.40
01:50:48 pos=(0.50,0.53) h=66 tick=689788 goal=0 here=0 d5=0.663 f=0.57
01:50:50 pos=(0.56,0.85) d5=0.66
01:50:52 pos=(0.56,0.86) h=16 tick=690134 goal=0 here=0 d5=0.663 f=0.69
01:50:52 pos=(0.68,0.88) d5=0.67
01:50:53 pos=(0.69,0.87) h=6 tick=690256 goal=0 here=0 d5=0.664 f=0.35
01:50:54 pos=(0.74,0.87) h=8 tick=690323 goal=0 here=0 d5=0.671 f=0.34
01:50:56 pos=(1.08,1.01) h=24 tick=690525 goal=0 here=0 d5=0.707 f=0.46
01:50:58 pos=(1.34,1.12) d5=0.71
01:51:00 pos=(1.35,1.11) h=232 tick=690987 goal=0 here=0 d5=0.739 f=0.26
01:51:00 pos=(1.35,1.11) d5=0.74
01:51:03 pos=(1.34,1.12) h=130 tick=691198 goal=0 here=0 d5=0.733 f=0.27
01:51:03 pos=(1.34,1.12) d5=0.73
01:51:04 pos=(1.35,1.12) h=208 tick=691372 goal=0 here=0 d5=0.741 f=0.31
01:51:06 pos=(1.33,1.11) h=148 tick=691536 goal=0 here=0 d5=0.735 f=0.33
01:51:06 pos=(1.28,1.14) d5=0.71
01:51:08 pos=(1.29,1.14) h=219 tick=691742 goal=0 here=0 d5=0.727 f=0.30
01:51:08 pos=(1.29,1.14) h=222 tick=691748 goal=0 here=0 d5=0.734 f=0.30
01:51:08 pos=(1.28,1.14) h=223 tick=691762 goal=0 here=0 d5=0.738 f=0.30
01:51:08 pos=(1.26,1.12) d5=0.73
01:51:08 pos=(1.25,1.12) h=223 tick=691783 goal=0 here=0 d5=0.734 f=0.28
01:51:08 pos=(1.25,1.12) h=224 tick=691789 goal=0 here=0 d5=0.732 f=0.26
01:51:09 pos=(1.25,1.12) h=220 tick=691800 goal=0 here=0 d5=0.714 f=0.28
01:51:09 pos=(1.25,1.12) h=221 tick=691806 goal=0 here=0 d5=0.721 f=0.30
01:51:09 pos=(1.25,1.12) h=224 tick=691815 goal=0 here=0 d5=0.712 f=0.29
01:51:09 pos=(1.25,1.12) h=223 tick=691820 goal=0 here=0 d5=0.72 f=0.28
01:51:11 pos=(1.25,1.12) h=142 tick=691999 goal=0 here=0 d5=0.725 f=0.32
01:51:13 pos=(0.94,1.22) h=171 tick=692207 goal=0 here=0 d5=0.671 f=0.50
01:51:15 pos=(0.57,1.23) h=185 tick=692407 goal=0 here=0 d5=0.616 f=0.52
01:51:15 pos=(0.46,1.23) d5=0.61
01:51:18 pos=(0.46,1.24) h=330 tick=692756 goal=0 here=0 d5=0.597 f=0.40
01:51:20 pos=(0.61,1.07) d5=0.64
01:51:21 pos=(0.61,1.07) h=344 tick=693009 goal=0 here=0 d5=0.643 f=0.38
01:51:21 pos=(0.65,1.05) h=335 tick=693094 goal=0 here=0 d5=0.642 f=0.36
01:51:22 pos=(0.67,1.04) d5=0.66
