=== spiral start (1.23,0.29) ===
leg0/9.0 d=0.0 pose=(1.23,0.29) hdg=358
leg0/9.0 d=0.5 pose=(1.76,0.26) hdg=356
leg0/9.0 d=1.0 pose=(2.26,0.25) hdg=360
leg0/9.0 d=1.7 pose=(2.89,0.22) hdg=354
leg0/9.0 d=2.7 pose=(3.89,0.15) hdg=358
leg0/9.0 d=3.7 pose=(4.90,0.08) hdg=357
leg0/9.0 d=4.7 pose=(5.90,0.01) hdg=357
leg0/9.0 d=5.7 pose=(6.91,-0.06) hdg=353
leg0/9.0 d=6.7 pose=(7.91,-0.13) hdg=355
leg0/9.0 d=7.7 pose=(8.92,-0.20) hdg=356
leg0/9.0 d=8.7 pose=(9.92,-0.27) hdg=356
leg result done at (10.21,-0.29)
leg90/9.0 d=0.1 pose=(10.24,-0.13) hdg=85
leg90/9.0 d=1.1 pose=(10.31,0.87) hdg=86
leg90/9.0 d=2.2 pose=(10.38,1.88) hdg=88
leg90/9.0 d=3.2 pose=(10.45,2.88) hdg=84
leg90/9.0 d=4.2 pose=(10.52,3.89) hdg=89
leg90/9.0 d=5.2 pose=(10.59,4.89) hdg=87
leg90/9.0 d=6.2 pose=(10.66,5.90) hdg=84
leg90/9.0 d=7.2 pose=(10.73,6.90) hdg=86
leg90/9.0 d=8.2 pose=(10.80,7.91) hdg=90
leg result done at (10.86,8.68)
leg180/14.0 d=0.0 pose=(10.86,8.70) hdg=174
leg180/14.0 d=1.0 pose=(9.85,8.78) hdg=176
leg180/14.0 d=2.0 pose=(8.85,8.85) hdg=176
leg180/14.0 d=3.0 pose=(7.84,8.92) hdg=176
leg180/14.0 d=4.0 pose=(6.84,8.99) hdg=180
leg180/14.0 d=5.0 pose=(5.83,9.05) hdg=181
leg180/14.0 d=6.0 pose=(4.82,9.12) hdg=176
leg180/14.0 d=7.0 pose=(3.82,9.18) hdg=180
leg180/14.0 d=8.0 pose=(2.81,9.26) hdg=175
leg180/14.0 d=9.1 pose=(1.81,9.33) hdg=173
leg180/14.0 d=10.1 pose=(0.80,9.40) hdg=177
leg180/14.0 d=11.1 pose=(-0.20,9.47) hdg=175
leg180/14.0 d=12.1 pose=(-1.21,9.54) hdg=173
leg180/14.0 d=13.1 pose=(-2.23,9.61) hdg=175
leg result done at (-3.11,9.67)
leg270/14.0 d=0.0 pose=(-3.13,9.67) hdg=265
leg270/14.0 d=1.0 pose=(-3.20,8.66) hdg=266
leg270/14.0 d=2.0 pose=(-3.27,7.66) hdg=268
leg270/14.0 d=3.0 pose=(-3.34,6.65) hdg=268
leg270/14.0 d=4.0 pose=(-3.41,5.65) hdg=266
leg270/14.0 d=5.0 pose=(-3.48,4.64) hdg=266
leg270/14.0 d=6.0 pose=(-3.55,3.64) hdg=264
leg270/14.0 d=7.0 pose=(-3.62,2.63) hdg=264
leg270/14.0 d=8.0 pose=(-3.68,1.63) hdg=267
leg270/14.0 d=9.1 pose=(-3.76,0.62) hdg=268
leg270/14.0 d=10.1 pose=(-3.82,-0.38) hdg=264
leg270/14.0 d=11.1 pose=(-3.89,-1.39) hdg=269
leg270/14.0 d=12.1 pose=(-3.96,-2.40) hdg=266
leg270/14.0 d=13.1 pose=(-4.03,-3.40) hdg=266
leg result done at (-4.10,-4.30)
leg0/19.0 d=0.0 pose=(-4.10,-4.32) hdg=354
leg0/19.0 d=1.0 pose=(-3.09,-4.40) hdg=356
leg0/19.0 d=2.0 pose=(-2.09,-4.47) hdg=356
leg0/19.0 d=3.0 pose=(-1.08,-4.54) hdg=356
leg0/19.0 d=4.0 pose=(-0.08,-4.61) hdg=356
leg0/19.0 d=5.0 pose=(0.93,-4.68) hdg=0
leg0/19.0 d=6.0 pose=(1.93,-4.75) hdg=354
leg0/19.0 d=7.0 pose=(2.94,-4.82) hdg=358
leg0/19.0 d=8.0 pose=(3.94,-4.89) hdg=357
leg0/19.0 d=9.1 pose=(4.95,-4.96) hdg=355
leg0/19.0 d=10.1 pose=(5.95,-5.03) hdg=354
leg0/19.0 d=11.1 pose=(6.96,-5.10) hdg=357
leg0/19.0 d=12.1 pose=(7.96,-5.17) hdg=356
leg0/19.0 d=13.1 pose=(8.97,-5.24) hdg=359
leg0/19.0 d=14.1 pose=(9.97,-5.31) hdg=356
leg0/19.0 d=15.1 pose=(10.98,-5.38) hdg=355
leg0/19.0 d=16.1 pose=(11.98,-5.45) hdg=357
leg0/19.0 d=17.1 pose=(12.99,-5.52) hdg=355
leg0/19.0 d=18.1 pose=(13.99,-5.59) hdg=356
leg result done at (14.85,-5.65)
leg90/19.0 d=0.0 pose=(14.86,-5.65) hdg=85
leg90/19.0 d=1.0 pose=(14.93,-4.65) hdg=87
leg90/19.0 d=2.0 pose=(15.00,-3.64) hdg=87
leg90/19.0 d=3.0 pose=(15.06,-2.64) hdg=87
