off: {'tick': 485189, 'goal': 0, 'here': 1}
back: {'tick': 486299, 'goal': 0, 'here': 1}
off: {'tick': 491165, 'goal': 0, 'here': 1}
back: {'tick': 492241, 'goal': 0, 'here': 1}
off: {'tick': 497151, 'goal': 0, 'here': 1}
back: {'tick': 498315, 'goal': 0, 'here': 1}
off: {'tick': 503185, 'goal': 0, 'here': 1}
back: {'tick': 504296, 'goal': 0, 'here': 1}
off: {'tick': 509165, 'goal': 0, 'here': 1}
back: {'tick': 510270, 'goal': 0, 'here': 1}
off: {'tick': 515140, 'goal': 0, 'here': 1}
back: {'tick': 516069, 'goal': 0, 'here': 1}
off: {'tick': 520942, 'goal': 0, 'here': 1}
back: {'tick': 521837, 'goal': 0, 'here': 1}
off: {'tick': 526568, 'goal': 0, 'here': 1}
back: {'tick': 527523, 'goal': 0, 'here': 1}
off: {'tick': 532251, 'goal': 0, 'here': 1}
back: {'tick': 533173, 'goal': 0, 'here': 1}
off: {'tick': 537903, 'goal': 0, 'here': 1}
back: {'tick': 538802, 'goal': 0, 'here': 1}
off: {'tick': 543470, 'goal': 0, 'here': 1}
back: {'tick': 544330, 'goal': 0, 'here': 1}
off: {'tick': 549035, 'goal': 0, 'here': 1}
back: {'tick': 549916, 'goal': 0, 'here': 1}
off: {'tick': 554608, 'goal': 0, 'here': 1}
back: {'tick': 555743, 'goal': 0, 'here': 1}
off: {'tick': 560659, 'goal': 0, 'here': 1}
back: {'tick': 561638, 'goal': 0, 'here': 1}
off: {'tick': 566371, 'goal': 0, 'here': 1}
back: {'tick': 567350, 'goal': 0, 'here': 1}
off: {'tick': 572140, 'goal': 0, 'here': 1}
back: {'tick': 573001, 'goal': 0, 'here': 1}
off: {'tick': 577689, 'goal': 0, 'here': 1}
back: {'tick': 578620, 'goal': 0, 'here': 1}
off: {'tick': 583334, 'goal': 0, 'here': 1}
back: {'tick': 584277, 'goal': 0, 'here': 1}
off: {'tick': 589050, 'goal': 0, 'here': 1}
back: {'tick': 589924, 'goal': 0, 'here': 1}
off: {'tick': 594604, 'goal': 0, 'here': 1}
back: {'tick': 595576, 'goal': 0, 'here': 1}
off: {'tick': 600343, 'goal': 0, 'here': 1}
back: {'tick': 601308, 'goal': 0, 'here': 1}
off: {'tick': 606073, 'goal': 0, 'here': 1}
back: {'tick': 606922, 'goal': 0, 'here': 1}
off: {'tick': 611598, 'goal': 0, 'here': 1}
back: {'tick': 612546, 'goal': 0, 'here': 1}
off: {'tick': 617329, 'goal': 0, 'here': 1}
back: {'tick': 618298, 'goal': 0, 'here': 1}
off: {'tick': 623061, 'goal': 0, 'here': 1}
back: {'tick': 623985, 'goal': 0, 'here': 1}
off: {'tick': 628691, 'goal': 0, 'here': 1}
back: {'tick': 629619, 'goal': 0, 'here': 1}
off: {'tick': 634295, 'goal': 0, 'here': 1}
back: {'tick': 635186, 'goal': 0, 'here': 1}
off: {'tick': 639923, 'goal': 0, 'here': 1}
back: {'tick': 640858, 'goal': 0, 'here': 1}
off: {'tick': 645571, 'goal': 0, 'here': 1}
back: {'tick': 646581, 'goal': 0, 'here': 1}
off: {'tick': 651365, 'goal': 0, 'here': 1}
back: {'tick': 652258, 'goal': 0, 'here': 1}
off: {'tick': 656974, 'goal': 0, 'here': 1}
back: {'tick': 657907, 'goal': 0, 'here': 1}
off: {'tick': 662641, 'goal': 0, 'here': 1}
back: {'tick': 663550, 'goal': 0, 'here': 1}
off: {'tick': 668297, 'goal': 0, 'here': 1}
back: {'tick': 669196, 'goal': 0, 'here': 1}
off: {'tick': 673923, 'goal': 0, 'here': 1}
back: {'tick': 675042, 'goal': 0, 'here': 1}
off: {'tick': 679895, 'goal': 0, 'here': 1}
back: {'tick': 680839, 'goal': 0, 'here': 1}
off: {'tick': 685583, 'goal': 0, 'here': 1}
back: {'tick': 686491, 'goal': 0, 'here': 1}
off: {'tick': 691225, 'goal': 0, 'here': 1}
back: {'tick': 692240, 'goal': 0, 'here': 1}
off: {'tick': 697048, 'goal': 0, 'here': 1}
back: {'tick': 697939, 'goal': 0, 'here': 1}
off: {'tick': 702666, 'goal': 0, 'here': 1}
back: {'tick': 703569, 'goal': 0, 'here': 1}
off: {'tick': 708234, 'goal': 0, 'here': 1}
back: {'tick': 709108, 'goal': 0, 'here': 1}
