start d11 0.252
moved 0.61 to (-3.64,4.25) d11 0.252->0.310
moved 0.56 to (-3.34,3.78) d11 0.310->0.308
moved 0.60 to (-3.69,4.26) d11 0.308->0.286
moved 0.34 to (-3.66,4.60) d11 0.286->0.243
moved 0.32 to (-3.37,4.73) d11 0.243->0.209
moved 0.21 to (-3.20,4.60) d11 0.209->0.189
moved 0.22 to (-3.18,4.38) d11 0.189->0.212
moved 0.50 to (-3.59,4.65) d11 0.212->0.171
moved 0.26 to (-3.73,4.43) d11 0.171->0.182
moved 0.41 to (-3.45,4.13) d11 0.182->0.214
moved 0.34 to (-3.61,4.43) d11 0.214->0.245
moved 0.31 to (-3.35,4.28) d11 0.245->0.285
moved 0.33 to (-3.58,4.50) d11 0.285->0.229
moved 0.22 to (-3.73,4.32) d11 0.229->0.222
moved 0.27 to (-3.70,4.58) d11 0.222->0.233
moved 0.46 to (-3.31,4.34) d11 0.233->0.257
moved 0.33 to (-3.52,4.58) d11 0.257->0.233
moved 0.27 to (-3.70,4.38) d11 0.233->0.222
