SIT: stationary beacon 150s
RX: B2 PING t=1788380328 d11=0.745
RX: B2 PING t=1788380329 d11=0.741
RX: B2 PING t=1788380330 d11=
RX: B2 PING t=1788380331 d11=0.717
RX: B2 PING t=1788380332 d11=0.716
RX: B2 PING t=1788380333 d11=0.730
RX: B2 PING t=1788380334 d11=0.736
RX: B2 PING t=1788380335 d11=0.739
RX: B2 PING t=1788380336 d11=0.732
RX: B2 PING t=1788380337 d11=0.738
RX: B2 PING t=1788380338 d11=0.736
RX: B2 PING t=1788380339 d11=0.723
RX: B2 PING t=1788380340 d11=0.760
RX: B2 PING t=1788380341 d11=0.746
RX: B2 PING t=1788380342 d11=0.748
RX: B2 PING t=1788380343 d11=0.713
RX: B2 PING t=1788380344 d11=0.726
RX: B2 PING t=1788380345 d11=0.728
RX: B2 PING t=1788380346 d11=0.717
RX: B2 PING t=1788380347 d11=0.733
RX: B2 PING t=1788380348 d11=0.735
RX: B2 PING t=1788380349 d11=0.732
RX: B2 PING t=1788380350 d11=0.733
RX: B2 PING t=1788380351 d11=0.721
RX: B2 PING t=1788380352 d11=0.739
RX: B2 PING t=1788380353 d11=0.731
RX: B2 PING t=1788380354 d11=0.713
RX: B2 PING t=1788380355 d11=0.726
RX: B2 PING t=1788380356 d11=0.732
RX: B2 PING t=1788380357 d11=0.723
RX: B2 PING t=1788380358 d11=
RX: B2 PING t=1788380359 d11=
RX: B2 PING t=1788380360 d11=0.739
RX: B2 PING t=1788380361 d11=0.732
RX: B2 PING t=1788380362 d11=0.747
RX: B2 PING t=1788380363 d11=0.716
RX: B2 PING t=1788380364 d11=0.735
RX: B2 PING t=1788380365 d11=0.738
RX: B2 PING t=1788380366 d11=0.726
RX: B2 PING t=1788380367 d11=0.728
RX: B2 PING t=1788380368 d11=0.737
RX: B2 PING t=1788380369 d11=0.726
RX: B2 PING t=1788380370 d11=0.725
RX: B2 PING t=1788380371 d11=0.732
RX: B2 PING t=1788380372 d11=0.731
RX: B2 PING t=1788380373 d11=0.723
RX: B2 PING t=1788380374 d11=0.738
RX: B2 PING t=1788380375 d11=0.724
RX: B2 PING t=1788380376 d11=0.729
RX: B2 PING t=1788380377 d11=
RX: B2 PING t=1788380378 d11=0.731
RX: B2 PING t=1788380379 d11=0.748
RX: B2 PING t=1788380380 d11=0.736
RX: B2 PING t=1788380381 d11=0.736
RX: B2 PING t=1788380382 d11=0.720
RX: B2 PING t=1788380383 d11=
RX: B2 PING t=1788380384 d11=0.737
RX: B2 PING t=1788380385 d11=0.744
RX: B2 PING t=1788380386 d11=0.741
RX: B2 PING t=1788380387 d11=0.738
RX: B2 PING t=1788380388 d11=0.730
RX: B2 PING t=1788380389 d11=0.728
RX: B2 PING t=1788380390 d11=0.734
RX: B2 PING t=1788380391 d11=0.725
RX: B2 PING t=1788380392 d11=0.731
RX: B2 PING t=1788380393 d11=
RX: B2 PING t=1788380394 d11=
RX: B2 PING t=1788380395 d11=0.740
RX: B2 PING t=1788380396 d11=0.729
RX: B2 PING t=1788380397 d11=0.725
RX: B2 PING t=1788380398 d11=0.741
RX: B2 PING t=1788380399 d11=0.723
RX: B2 PING t=1788380400 d11=None
RX: B2 PING t=1788380401 d11=
RX: B2 PING t=1788380402 d11=0.737
RX: B2 PING t=1788380403 d11=0.728
RX: B2 PING t=1788380404 d11=0.725
RX: B2 PING t=1788380405 d11=0.733
RX: B2 SAME d11=0.733
RX: B2 PING t=1788380408 d11=0.738
RX: B2 PING t=1788380409 d11=0.725
RX: B2 PING t=1788380410 d11=0.735
RX: B2 PING t=1788380411 d11=0.733
RX: B2 PING t=1788380412 d11=0.722
RX: B2 PING t=1788380413 d11=0.740
RX: B2 PING t=1788380414 d11=0.744
RX: B2 PING t=1788380415 d11=0.718
RX: B2 PING t=1788380416 d11=
RX: B2 PING t=1788380417 d11=0.748
RX: B2 PING t=1788380418 d11=0.728
RX: B2 PING t=1788380419 d11=0.734
RX: B2 PING t=1788380420 d11=0.721
RX: B2 PING t=1788380421 d11=0.733
RX: B2 PING t=1788380422 d11=0.723
RX: B2 PING t=1788380423 d11=0.724
RX: B2 PING t=1788380424 d11=0.729
RX: B2 PING t=1788380425 d11=
RX: B2 PING t=1788380426 d11=0.731
RX: B2 PING t=1788380427 d11=0.738
RX: B2 PING t=1788380428 d11=0.734
RX: B2 PING t=1788380429 d11=0.731
RX: B2 PING t=1788380430 d11=0.750
RX: B2 PING t=1788380431 d11=0.719
RX: B2 PING t=1788380432 d11=0.728
RX: B2 PING t=1788380433 d11=0.751
RX: B2 PING t=1788380434 d11=0.727
RX: B2 PING t=1788380435 d11=0.748
RX: B2 PING t=1788380436 d11=
RX: B2 PING t=1788380437 d11=0.739
RX: B2 PING t=1788380438 d11=0.738
RX: B2 PING t=1788380439 d11=0.730
RX: B2 PING t=1788380440 d11=0.751
RX: B2 PING t=1788380441 d11=0.742
RX: B2 PING t=1788380442 d11=0.728
RX: B2 PING t=1788380443 d11=0.732
RX: B2 PING t=1788380444 d11=0.725
RX: B2 PING t=1788380445 d11=0.733
RX: B2 PING t=1788380446 d11=0.733
RX: B2 PING t=1788380447 d11=0.729
RX: B2 PING t=1788380448 d11=0.734
RX: B2 PING t=1788380449 d11=
RX: B2 PING t=1788380450 d11=0.742
