RUSH2 to (2.0, -0.62)
t=0 dist=17.72 bear=357 pose=(-15.69,0.38)
t=2 dist=17.72 bear=357 pose=(-15.69,0.38)
t=3 dist=17.72 bear=357 pose=(-15.69,0.38)
t=5 dist=17.72 bear=357 pose=(-15.69,0.38)
t=6 dist=17.72 bear=357 pose=(-15.69,0.38)
t=7 dist=17.72 bear=357 pose=(-15.69,0.38)
t=9 dist=17.72 bear=357 pose=(-15.69,0.38)
t=10 dist=17.72 bear=357 pose=(-15.69,0.38)
t=12 dist=17.72 bear=357 pose=(-15.69,0.38)
t=13 dist=17.72 bear=357 pose=(-15.69,0.38)
t=14 dist=17.72 bear=357 pose=(-15.69,0.38)
no progress - breakout
t=16 dist=17.72 bear=357 pose=(-15.69,0.38)
t=18 dist=17.72 bear=357 pose=(-15.69,0.38)
t=19 dist=17.72 bear=357 pose=(-15.69,0.38)
t=21 dist=17.72 bear=357 pose=(-15.69,0.38)
t=22 dist=17.72 bear=357 pose=(-15.69,0.38)
t=23 dist=17.72 bear=357 pose=(-15.69,0.38)
t=25 dist=17.72 bear=357 pose=(-15.69,0.38)
t=26 dist=17.72 bear=357 pose=(-15.69,0.38)
t=28 dist=17.72 bear=357 pose=(-15.69,0.38)
t=29 dist=17.72 bear=357 pose=(-15.69,0.38)
t=30 dist=17.72 bear=357 pose=(-15.69,0.38)
no progress - breakout
t=31 dist=17.72 bear=357 pose=(-15.69,0.38)
t=34 dist=17.72 bear=357 pose=(-15.69,0.38)
t=35 dist=17.72 bear=357 pose=(-15.69,0.38)
t=37 dist=17.72 bear=357 pose=(-15.69,0.38)
t=38 dist=17.72 bear=357 pose=(-15.69,0.38)
t=40 dist=17.72 bear=357 pose=(-15.69,0.38)
t=41 dist=17.72 bear=357 pose=(-15.69,0.38)
t=42 dist=17.72 bear=357 pose=(-15.69,0.38)
t=44 dist=17.72 bear=357 pose=(-15.69,0.38)
t=45 dist=17.72 bear=357 pose=(-15.69,0.38)
t=47 dist=17.72 bear=357 pose=(-15.69,0.38)
no progress - breakout
t=48 dist=17.72 bear=357 pose=(-15.69,0.38)
t=50 dist=17.72 bear=357 pose=(-15.69,0.38)
t=52 dist=17.72 bear=357 pose=(-15.69,0.38)
t=53 dist=17.72 bear=357 pose=(-15.69,0.38)
t=55 dist=17.72 bear=357 pose=(-15.69,0.38)
t=58 dist=17.72 bear=357 pose=(-15.69,0.38)
t=62 dist=17.72 bear=357 pose=(-15.69,0.38)
no progress - breakout
t=64 dist=17.72 bear=357 pose=(-15.69,0.38)
t=69 dist=17.72 bear=357 pose=(-15.69,0.38)
t=72 dist=17.72 bear=357 pose=(-15.69,0.38)
t=76 dist=17.72 bear=357 pose=(-15.69,0.38)
t=78 dist=17.72 bear=357 pose=(-15.69,0.38)
no progress - breakout
t=80 dist=17.72 bear=357 pose=(-15.69,0.38)
t=83 dist=17.72 bear=357 pose=(-15.69,0.38)
t=87 dist=17.72 bear=357 pose=(-15.69,0.38)
t=90 dist=17.72 bear=357 pose=(-15.69,0.38)
t=94 dist=17.72 bear=357 pose=(-15.69,0.38)
no progress - breakout
t=96 dist=17.72 bear=357 pose=(-15.69,0.38)
t=101 dist=17.72 bear=357 pose=(-15.69,0.38)
t=103 dist=17.72 bear=357 pose=(-15.69,0.38)
t=108 dist=17.74 bear=357 pose=(-15.71,0.33)
t=110 dist=17.79 bear=358 pose=(-15.77,0.14)
no progress - breakout
t=112 dist=17.80 bear=358 pose=(-15.78,0.11)
t=115 dist=17.81 bear=358 pose=(-15.80,0.07)
t=119 dist=17.86 bear=358 pose=(-15.85,-0.09)
t=122 dist=17.90 bear=359 pose=(-15.90,-0.24)
t=126 dist=17.95 bear=359 pose=(-15.95,-0.38)
no progress - breakout
t=128 dist=17.91 bear=360 pose=(-15.91,-0.48)
t=133 dist=17.91 bear=0 pose=(-15.91,-0.64)
t=135 dist=17.94 bear=0 pose=(-15.94,-0.76)
t=139 dist=17.99 bear=1 pose=(-15.98,-0.89)
t=142 dist=18.02 bear=1 pose=(-16.02,-1.00)
no progress - breakout
t=143 dist=18.03 bear=1 pose=(-16.03,-1.05)
t=146 dist=18.06 bear=2 pose=(-16.05,-1.11)
t=151 dist=18.11 bear=2 pose=(-16.09,-1.27)
t=153 dist=18.13 bear=2 pose=(-16.12,-1.36)
t=158 dist=18.18 bear=3 pose=(-16.16,-1.55)
no progress - breakout
t=160 dist=18.14 bear=3 pose=(-16.11,-1.63)
t=165 dist=18.12 bear=3 pose=(-16.08,-1.73)
t=167 dist=18.15 bear=4 pose=(-16.11,-1.85)
t=171 dist=18.22 bear=4 pose=(-16.16,-2.03)
t=174 dist=18.25 bear=5 pose=(-16.19,-2.15)
t=178 dist=18.29 bear=5 pose=(-16.21,-2.29)
no progress - breakout
t=180 dist=18.22 bear=6 pose=(-16.13,-2.44)
t=185 dist=18.22 bear=6 pose=(-16.12,-2.54)
t=188 dist=18.25 bear=6 pose=(-16.14,-2.65)
t=192 dist=18.29 bear=7 pose=(-16.16,-2.79)
t=195 dist=18.34 bear=7 pose=(-16.19,-2.99)
no progress - breakout
t=196 dist=18.35 bear=7 pose=(-16.19,-3.01)
t=199 dist=18.36 bear=8 pose=(-16.20,-3.07)
t=204 dist=18.41 bear=8 pose=(-16.23,-3.21)
t=206 dist=18.44 bear=8 pose=(-16.25,-3.32)
t=211 dist=18.49 bear=9 pose=(-16.27,-3.46)
no progress - breakout
