[1788375737] WALLFOLLOW START (left-hand)
[1788375738] WALL f=0.37 at (0.00,0.00,274)
[1788375742] turned right 41 steps
[1788375742] WALL f=0.34 at (0.00,0.02,79)
[1788375746] turned right 41 steps
[1788375746] WALL f=0.35 at (-0.01,0.00,245)
[1788375748] turned right 23 steps
[1788375749] WALL f=0.30 at (0.07,-0.08,323)
[1788375750] turned right 1 steps
[1788375752] WALL f=0.39 at (0.29,-0.31,292)
[1788375756] turned right 38 steps
[1788375757] WALL f=0.39 at (0.22,-0.27,160)
[1788375761] turned right 41 steps
[1788375764] WALL f=0.41 at (0.42,-0.51,322)
[1788375768] turned right 42 steps
[1788375770] WALL f=0.40 at (0.26,-0.34,154)
[1788375774] turned right 41 steps
[1788375776] WALL f=0.40 at (0.41,-0.49,323)
[1788375777] turned right 15 steps
[1788375779] WALL f=0.40 at (0.27,-0.34,152)
[1788375781] turned right 16 steps
[1788375781] WALL f=0.37 at (0.28,-0.36,296)
[1788375785] turned right 42 steps
[1788375785] WALL f=0.32 at (0.28,-0.33,94)
[1788375789] turned right 42 steps
[1788375789] WALL f=0.36 at (0.27,-0.36,252)
[1788375794] turned right 42 steps
[1788375794] WALL f=0.21 at (0.28,-0.33,58)
[1788375798] turned right 42 steps
[1788375798] WALL f=0.32 at (0.25,-0.36,242)
[1788375802] turned right 42 steps
[1788375803] WALL f=0.26 at (0.27,-0.35,40)
[1788375807] turned right 41 steps
[1788375807] WALL f=0.39 at (0.25,-0.36,208)
[1788375811] turned right 41 steps
[1788375811] WALL f=0.27 at (0.28,-0.35,10)
[1788375815] turned right 42 steps
[1788375815] WALL f=0.41 at (0.25,-0.35,175)
[1788375819] turned right 39 steps
[1788375821] WALL f=0.41 at (0.39,-0.42,321)
[1788375821] turned right 2 steps
[1788375822] WALL f=0.41 at (0.43,-0.48,314)
[1788375826] turned right 42 steps
[1788375826] WALL f=0.34 at (0.43,-0.48,115)
[1788375831] turned right 41 steps
[1788375832] WALL f=0.35 at (0.50,-0.60,320)
[1788375836] turned right 41 steps
[1788375836] WALL f=0.42 at (0.46,-0.55,119)
[1788375838] turned right 12 steps
[1788375838] WALL f=0.36 at (0.47,-0.56,322)
[1788375842] turned right 41 steps
[1788375842] WALL f=0.40 at (0.45,-0.52,122)
[1788375846] turned right 42 steps
[1788375849] WALL f=0.42 at (0.58,-0.77,303)
[1788375850] turned right 13 steps
[1788375851] WALL f=0.42 at (0.48,-0.62,107)
[1788375853] turned right 11 steps
[1788375853] WALL f=0.34 at (0.51,-0.65,326)
[1788375857] turned right 41 steps
[1788375858] WALL f=0.41 at (0.44,-0.56,116)
