0,0.643,0.643,PROBE
P,0,0.65,0.19,True
P,60,0.643,0.30,False
P,-60,0.639,0.00,True
R,0.636,0.00,True
7,0.637,0.643,PROBE
P,0,0.63,0.00,True
P,60,0.608,0.23,True
P,-60,0.627,-0.00,True
12,0.617,0.617,PROBE
P,0,0.631,-0.00,True
P,60,0.624,0.00,True
P,-60,0.655,0.29,False
R,0.65,0.23,True
19,0.652,0.617,PROBE
P,0,0.66,0.00,True
P,60,0.684,0.29,False
P,-60,0.664,0.03,True
R,0.685,0.01,True
26,0.681,0.617,PROBE
P,0,0.671,0.00,True
P,60,0.689,0.17,True
P,-60,0.645,-0.00,True
30,0.644,0.617,PROBE
P,0,0.653,0.00,True
P,60,0.726,0.00,True
P,-60,0.662,0.29,False
R,0.631,0.10,True
37,0.633,0.617,PROBE
P,0,0.64,0.03,True
P,60,0.593,0.29,False
P,-60,0.603,0.00,True
R,0.606,0.00,True
44,0.600,0.617,PROBE
P,0,0.604,-0.00,True
P,60,0.569,0.29,False
P,-60,0.596,0.00,True
R,0.593,0.06,True
50,0.601,0.617,PROBE
P,0,0.607,0.01,True
P,60,0.522,0.29,False
R,0.528,0.00,True
54,0.527,0.527,PROBE
P,0,0.546,0.00,True
P,60,0.593,0.00,True
P,-60,0.583,0.28,False
R,0.585,0.00,True
60,0.585,0.527,PROBE
P,0,0.586,-0.00,True
P,60,0.51,0.29,False
R,0.46,0.24,True
65,0.465,0.465,PROBE
P,0,0.473,0.01,True
P,60,0.466,-0.00,True
P,-60,0.431,0.20,True
70,0.443,0.443,PROBE
P,0,0.437,0.00,True
P,60,0.439,0.02,True
P,-60,0.45,0.29,False
R,0.45,0.21,True
78,0.461,0.443,PROBE
P,0,0.449,0.01,True
P,60,0.443,0.24,True
P,-60,0.456,0.03,True
83,0.446,0.443,PROBE
P,0,0.45,0.01,True
P,60,0.467,0.00,True
P,-60,0.474,0.29,False
R,0.445,0.31,False
R,0.424,0.14,True
91,0.435,0.443,PROBE
P,0,0.431,0.00,True
P,60,0.431,0.00,True
P,-60,0.468,0.00,True
95,0.464,0.443,PROBE
P,0,0.469,0.00,True
P,60,0.463,0.00,True
P,-60,0.423,0.01,True
99,0.432,0.443,PROBE
P,0,0.43,0.00,True
P,60,0.432,0.00,True
P,-60,0.453,0.29,False
R,0.445,0.13,True
106,0.446,0.443,PROBE
P,0,0.458,0.02,True
P,60,0.469,0.30,False
P,-60,0.489,0.28,False
R,0.486,0.00,True
114,0.483,0.443,PROBE
P,0,0.481,-0.00,True
P,60,0.493,0.00,True
P,-60,0.536,0.29,False
R,0.5,0.21,True
121,0.492,0.443,PROBE
P,0,0.49,-0.00,True
P,60,0.512,0.06,True
P,-60,0.485,0.09,True
125,0.487,0.443,PROBE
P,0,0.481,0.04,True
P,60,0.474,0.00,True
P,-60,0.549,0.28,False
R,0.511,0.31,False
R,0.475,0.31,False
