L,0,0.577,0.577,DESCEND
P,0,0.608,0.41,False
P,60,0.629,0.00,True
P,-60,0.624,0.41,False
P,120,0.678,0.00,True
P,-120,0.695,0.40,False
P,180,0.674,0.40,False
L,28,0.643,0.610,DESCEND
P,0,0.639,0.22,True
P,60,0.714,0.17,True
P,-60,0.723,0.00,True
P,120,0.673,0.40,False
P,-120,0.65,0.00,True
P,180,0.613,0.09,True
L,52,0.645,0.627,DESCEND
P,0,0.619,0.26,True
P,60,0.611,0.40,False
P,-60,0.54,0.41,False
P,120,0.573,0.35,True
P,-120,0.55,0.41,False
P,180,0.648,0.41,False
L,83,0.623,0.582,RUN
R,0.618,0.03,True
L,84,0.612,0.606,DESCEND
P,0,0.607,0.00,True
P,60,0.613,0.14,True
P,-60,0.612,0.00,True
P,120,0.668,0.41,False
P,-120,0.679,0.07,True
P,180,0.647,0.12,True
L,106,0.644,0.625,DESCEND
P,0,0.545,0.41,False
P,60,0.447,0.40,False
P,-60,0.451,0.14,True
P,120,0.43,0.05,True
P,-120,0.429,0.00,True
P,180,0.358,0.21,True
L,132,0.338,0.393,RUN
R,0.323,0.40,False
L,135,0.329,0.343,RUN
R,0.355,0.40,False
L,138,0.355,0.352,RUN
R,0.377,0.35,True
L,140,0.375,0.370,DESCEND
P,0,0.385,0.00,True
P,60,0.381,-0.00,True
P,-60,0.419,0.05,True
P,120,0.476,-0.00,True
P,-120,0.507,0.41,False
P,180,0.475,0.41,False
L,164,0.469,0.419,DESCEND
P,0,0.459,0.31,True
P,60,0.414,0.16,True
P,-60,0.424,0.00,True
P,120,0.528,0.40,False
P,-120,0.576,0.18,True
P,180,0.46,0.25,True
L,191,0.447,0.433,DESCEND
P,0,0.425,0.13,True
P,60,0.439,0.41,False
P,-60,0.413,0.35,True
P,120,0.444,0.24,True
P,-120,0.438,0.40,False
P,180,0.459,0.41,False
L,221,0.462,0.448,DESCEND
P,0,0.472,0.15,True
P,60,0.481,0.00,True
P,-60,0.48,-0.00,True
