P,0,0.765,0.29,False
P,60,0.775,0.29,False
P,-60,0.806,0.29,False
R,0.83,0.28,True
P,0,0.817,-0.00,True
P,60,0.823,-0.00,True
P,-60,0.785,0.29,False
R,0.792,0.00,True
P,0,0.794,-0.00,True
P,60,0.786,0.04,True
P,-60,0.762,0.29,False
R,0.786,0.31,False
R,0.789,0.31,False
R,0.804,0.27,True
P,0,0.801,0.04,True
P,60,0.766,0.29,False
P,-60,0.769,0.00,True
R,0.759,0.31,False
R,0.747,0.31,False
R,0.732,0.31,False
R,0.706,0.31,False
P,0,0.69,0.29,False
P,60,0.715,0.29,False
P,-60,0.784,0.29,False
R,0.814,0.31,False
P,0,0.837,0.29,False
P,60,0.848,-0.00,True
P,-60,0.879,0.29,False
R,0.892,0.16,True
P,0,0.888,0.00,True
P,60,0.921,0.29,False
P,-60,0.931,0.04,True
R,0.954,0.31,False
R,0.976,0.31,False
R,0.991,0.01,True
P,0,0.978,0.01,True
P,60,0.978,0.04,True
P,-60,0.983,0.29,False
R,0.973,0.31,False
R,0.939,0.31,False
R,0.902,0.31,False
R,0.892,0.04,True
P,0,0.897,-0.00,True
P,60,0.878,0.29,False
P,-60,0.884,0.00,True
R,0.868,0.00,True
P,0,0.884,0.00,True
P,60,0.866,0.21,True
P,-60,0.87,-0.00,True
P,0,0.873,0.00,True
P,60,0.858,0.29,False
P,-60,0.923,-0.00,True
R,0.931,-0.00,True
P,0,0.922,0.00,True
P,60,0.884,0.29,False
P,-60,0.88,0.00,True
R,0.845,0.31,True
P,0,0.832,0.01,True
P,60,0.802,0.29,False
P,-60,0.796,0.00,True
R,0.777,0.00,True
P,0,0.783,0.00,True
P,60,0.678,0.29,False
R,0.642,0.32,False
R,0.61,0.31,False
R,0.548,0.31,False
R,0.528,0.31,False
P,0,0.516,0.09,True
P,60,0.523,0.00,True
P,-60,0.49,0.29,False
R,0.487,0.29,True
P,0,0.483,-0.00,True
P,60,0.46,0.29,False
P,-60,0.461,0.00,True
R,0.443,0.06,True
P,0,0.461,0.03,True
P,60,0.433,0.29,False
P,-60,0.433,0.00,True
R,0.43,-0.00,True
P,0,0.418,0.00,True
P,60,0.415,0.29,False
P,-60,0.399,0.00,True
R,0.388,0.11,True
P,0,0.395,0.00,True
P,60,0.379,0.29,False
P,-60,0.376,0.02,True
R,0.376,0.03,True
P,0,0.376,0.01,True
P,60,0.346,0.29,False
P,-60,0.348,0.00,True
R,0.341,0.31,False
R,0.338,0.04,True
P,0,0.329,0.00,True
P,60,0.315,0.29,False
P,-60,0.313,0.01,True
R,0.312,0.31,False
R,0.291,0.31,False
R,0.283,0.31,False
R,0.284,0.10,True
P,0,0.28,0.01,True
P,60,0.285,0.02,True
P,-60,0.285,0.29,False
R,0.277,0.00,True
P,0,0.277,0.00,True
P,60,0.278,0.28,False
P,-60,0.284,0.02,True
R,0.288,0.09,True
P,0,0.287,0.00,True
P,60,0.286,0.29,False
P,-60,0.287,-0.00,True
R,0.319,0.31,False
R,0.316,0.32,False
R,0.343,0.31,False
R,0.361,0.31,False
P,0,0.365,0.27,True
P,60,0.38,0.32,False
P,-60,0.376,0.00,True
R,0.378,0.00,True
P,0,0.365,-0.00,True
P,60,0.372,0.29,False
P,-60,0.365,0.01,True
R,0.369,0.03,True
P,0,0.365,0.00,True
P,60,0.359,0.30,False
P,-60,0.363,0.02,True
R,0.354,0.14,True
P,0,0.367,0.00,True
P,60,0.364,0.29,False
P,-60,0.359,-0.00,True
