0,0.491,0.491,RUN
R,0.425,0.45,False
3,0.417,0.454,RUN
R,0.447,0.16,True
4,0.444,0.449,TURN
T,60,0.512,0.10,True
T,-60,0.494,0.00,True
T,120,0.428,0.36,False
13,0.421,0.435,RUN
R,0.41,0.11,True
14,0.422,0.428,TURN
T,60,0.453,0.22,True
T,-60,0.515,-0.00,True
T,120,0.564,0.36,False
T,-120,0.56,0.11,True
T,30,0.555,0.05,True
T,-30,0.568,-0.00,True
29,0.556,0.492,RUN
R,0.567,0.00,True
30,0.567,0.530,TURN
T,60,0.684,0.36,False
T,-60,0.733,0.00,True
T,120,0.726,0.31,True
T,-120,0.703,0.05,True
T,30,0.748,0.01,True
T,-30,0.783,0.02,True
45,0.775,0.652,RUN
R,0.774,-0.00,True
46,0.773,0.713,TURN
T,60,0.736,0.36,False
50,0.704,0.708,RUN
R,0.759,0.46,False
52,0.767,0.738,TURN
T,60,0.934,0.36,False
T,-60,0.96,0.29,True
T,120,0.966,0.09,True
T,-120,0.959,0.06,True
T,30,0.984,0.10,True
T,-30,0.978,-0.00,True
69,0.976,0.857,RUN
R,0.973,-0.00,True
69,0.973,0.915,TURN
T,60,0.976,0.04,True
T,-60,0.966,0.00,True
T,120,0.967,0.00,True
T,-120,0.971,-0.00,True
T,30,0.977,0.00,True
T,-30,0.972,0.01,True
81,0.975,0.945,RUN
R,0.984,-0.00,True
82,0.968,0.956,TURN
T,60,0.974,0.02,True
T,-60,0.987,0.26,True
T,120,0.988,0.00,True
T,-120,0.984,0.01,True
T,30,0.991,0.36,False
T,-30,0.99,-0.00,True
97,0.991,0.974,RUN
R,0.991,-0.00,True
97,0.992,0.983,TURN
T,60,0.986,0.35,False
T,-60,0.977,0.15,True
T,120,0.98,0.05,True
T,-120,0.977,0.08,True
T,30,0.951,0.36,False
113,0.946,0.964,RUN
R,0.926,0.33,True
115,0.925,0.945,TURN
T,60,0.905,0.36,False
T,-60,0.904,-0.00,True
T,120,0.915,0.36,False
T,-120,0.904,-0.00,True
T,30,0.903,0.01,True
T,-30,0.916,-0.00,True
131,0.913,0.929,RUN
R,0.911,0.01,True
131,0.908,0.918,TURN
