[16:46:04] === explore2 start ===
[16:46:04] status (110763, 0, 0) h 260.7
[16:46:05] step 0 pose -0.22,-0.03 h=263 batt=0.517
[16:46:08] 3: turn RIGHT (L=0.23 F=0.29 R=0.22) at -0.67,-0.12
[16:46:10] 4: turn RIGHT (L=0.28 F=0.25 R=0.37) at -0.67,-0.12
[16:46:12] 5: turn RIGHT (L=0.23 F=0.31 R=0.25) at -0.67,-0.12
[16:46:14] 6: turn RIGHT (L=0.28 F=0.25 R=0.22) at -0.67,-0.12
[16:46:16] 7: turn RIGHT (L=0.25 F=0.23 R=0.29) at -0.67,-0.12
[16:46:20] 9: turn RIGHT (L=0.25 F=0.25 R=0.19) at -0.82,-0.04
[16:46:22] 10: turn RIGHT (L=0.26 F=0.19 R=0.35) at -0.82,-0.04
[16:46:36] 20: turn RIGHT (L=0.19 F=0.30 R=0.27) at 1.20,-0.06
[16:46:38] step 20 pose 1.20,-0.06 h=72 batt=0.51
[16:46:38] 21: turn RIGHT (L=0.28 F=0.27 R=0.31) at 1.20,-0.06
[16:46:40] 22: turn RIGHT (L=0.28 F=0.29 R=0.23) at 1.20,-0.06
[16:46:42] 23: turn RIGHT (L=0.30 F=0.25 R=0.19) at 1.20,-0.06
[16:46:44] 24: turn RIGHT (L=0.28 F=0.20 R=0.28) at 1.20,-0.06
[16:46:46] 25: turn RIGHT (L=0.20 F=0.32 R=0.28) at 1.20,-0.06
[16:46:48] 26: turn LEFT (L=0.35 F=0.28) at 1.20,-0.06
[16:46:50] 27: turn RIGHT (L=0.23 F=0.31 R=0.27) at 1.20,-0.06
[16:46:52] 28: turn RIGHT (L=0.33 F=0.28 R=0.31) at 1.20,-0.06
[16:47:04] 37: turn RIGHT (L=0.25 F=0.29 R=0.21) at -0.54,-0.13
[16:47:06] 38: turn RIGHT (L=0.28 F=0.21 R=0.32) at -0.54,-0.13
[16:47:08] 39: turn RIGHT (L=0.21 F=0.30 R=0.24) at -0.54,-0.13
[16:47:10] 40: turn RIGHT (L=0.27 F=0.25 R=0.26) at -0.54,-0.13
[16:47:12] step 40 pose -0.54,-0.13 h=254 batt=0.521
[16:47:12] 41: turn RIGHT (L=0.28 F=0.23 R=0.25) at -0.54,-0.13
[16:47:14] 42: turn RIGHT (L=0.24 F=0.30 R=0.26) at -0.54,-0.13
[16:47:16] 43: turn RIGHT (L=0.33 F=0.26 R=0.29) at -0.54,-0.13
[16:47:18] 44: turn RIGHT (L=0.25 F=0.31 R=0.24) at -0.54,-0.13
[16:47:20] 45: turn LEFT (L=0.36 F=0.26) at -0.54,-0.13
[16:47:22] 46: turn RIGHT (L=0.24 F=0.29 R=0.23) at -0.54,-0.13
[16:47:24] 47: turn RIGHT (L=0.36 F=0.24 R=0.31) at -0.54,-0.13
[16:47:26] 48: turn RIGHT (L=0.25 F=0.30 R=0.20) at -0.54,-0.13
[16:47:28] 49: turn RIGHT (L=0.28 F=0.23 R=0.58) at -0.54,-0.13
[16:47:35] 54: turn RIGHT (L=0.17 F=0.31 R=0.25) at 0.22,0.03
[16:47:37] 55: turn RIGHT (L=0.30 F=0.26 R=0.41) at 0.22,0.03
[16:47:42] 58: turn RIGHT (L=0.22 F=0.28 R=0.26) at -0.16,-0.19
[16:47:44] 59: turn RIGHT (L=0.30 F=0.28 R=0.27) at -0.16,-0.19
[16:47:46] 60: turn RIGHT (L=0.29 F=0.26 R=0.22) at -0.16,-0.19
[16:47:48] step 60 pose -0.16,-0.19 h=237 batt=0.536
[16:47:48] 61: turn RIGHT (L=0.25 F=0.23 R=0.24) at -0.16,-0.19
[16:47:50] 62: turn RIGHT (L=0.27 F=0.22 R=0.27) at -0.16,-0.19
[16:47:52] 63: turn RIGHT (L=0.22 F=0.28 R=0.24) at -0.16,-0.19
[16:47:54] 64: turn RIGHT (L=0.39 F=0.23 R=0.47) at -0.16,-0.19
[16:48:07] 73: turn RIGHT (L=0.18 F=0.29 R=0.26) at 1.61,-0.03
[16:48:09] 74: turn RIGHT (L=0.29 F=0.25 R=0.39) at 1.61,-0.03
[16:48:14] 77: turn RIGHT (L=0.22 F=0.27 R=0.27) at 1.23,-0.25
[16:48:16] 78: turn RIGHT (L=0.27 F=0.27 R=0.26) at 1.23,-0.25
[16:48:18] 79: turn RIGHT (L=0.31 F=0.27 R=0.23) at 1.23,-0.25
[16:48:20] 80: turn RIGHT (L=0.26 F=0.20 R=0.24) at 1.23,-0.25
[16:48:22] step 80 pose 1.23,-0.25 h=238 batt=0.505
[16:48:22] 81: turn RIGHT (L=0.26 F=0.23 R=0.36) at 1.23,-0.25
