0 0 [0.086, 0.135, 0.171, 0.19, 1.41, 0.705, 0.58, 0.884, 0.929, 0.103, 0.09, 0.1, 0.123, 0.128, 0.116, 0.083]
22 0 [0.112, 0.15, 0.179, -1.0, 1.525, 0.534, 0.914, 0.974, 0.133, 0.081, 0.106, 0.123, 0.127, 0.131, 0.088, 0.092]
45 0 [0.141, 0.177, 1.385, 1.523, 0.534, 0.889, 0.949, 0.113, 0.103, 0.09, 0.117, 0.121, 0.122, 0.106, 0.108, 0.125]
68 0 [0.219, 1.379, 0.887, 0.575, 0.913, 0.942, 0.112, 0.089, 0.094, 0.108, 0.108, 0.116, 0.093, 0.108, 0.125, 0.164]
90 0 [1.352, 0.911, 0.573, 0.936, 0.945, 0.107, 0.067, 0.099, 0.118, 0.123, 0.103, 0.093, 0.086, 0.154, 0.163, 0.177]
112 0 [0.906, 0.596, 0.938, 0.925, 0.098, 0.099, 0.089, 0.109, 0.097, 0.112, 0.098, 0.089, 0.129, 0.153, 0.2, 1.373]
135 0 [0.567, 0.951, 0.948, 0.113, 0.079, 0.096, 0.11, 0.106, 0.116, 0.107, 0.096, 0.131, 0.158, 0.192, 1.349, 0.908]
158 0 [0.942, 0.975, 0.11, 0.11, 0.097, 0.11, 0.121, 0.115, 0.092, 0.081, 0.139, 0.165, 0.192, 1.345, 1.559, 0.585]
180 0 [0.929, 0.111, 0.078, 0.102, 0.115, 0.105, 0.109, 0.09, 0.086, 0.111, 0.16, 0.192, 1.338, 1.567, 0.564, 0.939]
202 0 [0.106, 0.105, 0.094, 0.117, 0.103, 0.136, 0.062, -1.0, 0.119, 0.145, 0.184, 1.375, 1.58, 0.553, 0.961, 0.953]
225 0 [0.083, 0.118, 0.117, 0.127, 0.123, 0.089, 0.085, 0.115, 0.165, 0.195, 1.368, 1.566, 0.579, 0.952, 0.947, 0.084]
248 0 [0.101, 0.117, 0.116, 0.116, 0.085, 0.082, 0.125, 0.148, 0.186, 1.347, 1.554, 0.555, 0.959, 0.949, 0.106, 0.082]
270 0 [0.104, 0.126, 0.126, 0.086, 0.078, 0.134, 0.139, 0.192, 1.366, 1.551, 0.536, 0.946, 0.963, 0.103, 0.082, 0.115]
292 0 [0.129, 0.131, 0.078, 0.106, 0.119, 0.154, 0.185, 1.371, 1.565, 0.53, 0.967, 0.964, 0.135, 0.108, 0.086, 0.118]
315 0 [0.136, 0.095, 0.076, 0.145, 0.148, 0.171, 1.371, 1.549, 0.533, 0.905, 0.967, 0.124, 0.088, 0.084, 0.116, 0.145]
338 0 [0.098, 0.099, 0.16, 0.159, 0.205, 1.385, 0.888, 0.572, 0.884, 0.924, 0.116, 0.093, 0.106, 0.129, 0.134, 0.106]
