1789579562.2 A PING 0.0 0.0 270 n=0
1789579735.9 POSE x=0.00 y=0.00 d11=0.454 d3=tick=367905 goal=0 here=0
1789579738.4 POSE x=0.00 y=0.00 d11=0.435 d3=tick=368152 goal=0 here=0
1789579740.8 POSE x=0.00 y=0.00 d11=0.451 d3=tick=368398 goal=0 here=0
1789579743.5 POSE x=0.00 y=0.00 d11=0.445 d3=tick=368666 goal=0 here=0
1789579746.4 POSE x=0.00 y=0.00 d11=0.452 d3=tick=368952 goal=0 here=0
1789579748.9 POSE x=0.00 y=0.00 d11=0.444 d3=tick=369200 goal=0 here=0
1789579751.6 POSE x=0.00 y=0.00 d11=0.445 d3=tick=369473 goal=0 here=0
1789579754.1 POSE x=0.00 y=0.00 d11=0.452 d3=tick=369722 goal=0 here=0
1789579756.5 POSE x=0.00 y=0.00 d11=0.439 d3=tick=369967 goal=0 here=0
1789579759.3 POSE x=0.00 y=0.00 d11=0.433 d3=tick=370241 goal=0 here=0
1789579761.7 POSE x=0.00 y=0.00 d11=0.442 d3=tick=370487 goal=0 here=0
1789579764.3 POSE x=0.00 y=0.00 d11=0.431 d3=tick=370742 goal=0 here=0
1789579766.8 POSE x=0.00 y=0.00 d11=0.443 d3=tick=370991 goal=0 here=0
1789579769.6 POSE x=0.00 y=0.00 d11=0.438 d3=tick=371271 goal=0 here=0
1789579772.3 POSE x=0.00 y=0.00 d11=0.451 d3=tick=371542 goal=0 here=0
1789579774.9 POSE x=0.00 y=0.00 d11=0.447 d3=tick=371802 goal=0 here=0
1789579777.8 POSE x=0.00 y=0.00 d11=0.422 d3=tick=372096 goal=0 here=0
1789579780.9 POSE x=0.00 y=0.00 d11=0.400 d3=tick=372405 goal=0 here=0
1789579783.8 POSE x=0.00 y=0.00 d11=0.390 d3=tick=372690 goal=0 here=0
1789579786.3 POSE x=0.00 y=0.00 d11=0.356 d3=tick=372946 goal=0 here=0
1789579789.1 POSE x=0.00 y=0.00 d11=0.340 d3=tick=373222 goal=0 here=0
1789579791.9 POSE x=0.00 y=0.00 d11=0.323 d3=tick=373506 goal=0 here=0
1789579794.5 POSE x=0.00 y=0.00 d11=0.300 d3=tick=373764 goal=0 here=0
1789579797.0 POSE x=0.00 y=0.00 d11=0.301 d3=tick=374018 goal=0 here=0
1789579799.6 POSE x=0.00 y=0.00 d11=0.307 d3=tick=374269 goal=0 here=0
1789579802.0 POSE x=0.00 y=0.00 d11=0.316 d3=tick=374510 goal=0 here=0
1789579804.5 POSE x=0.00 y=0.00 d11=0.336 d3=tick=374759 goal=0 here=0
1789579807.1 POSE x=0.01 y=0.01 d11=0.365 d3=tick=375022 goal=0 here=0
1789579809.7 POSE x=0.01 y=0.02 d11=0.372 d3=tick=375287 goal=0 here=0
1789579812.4 POSE x=0.02 y=0.03 d11=0.375 d3=tick=375558 goal=0 here=0
1789579815.2 POSE x=0.03 y=0.05 d11=0.341 d3=tick=375837 goal=0 here=0
1789579817.8 POSE x=0.04 y=0.06 d11=0.338 d3=tick=376093 goal=0 here=0
1789579820.9 POSE x=0.05 y=0.07 d11=0.311 d3=tick=376399 goal=0 here=0
1789579823.6 POSE x=0.06 y=0.09 d11=0.322 d3=tick=376671 goal=0 here=0
1789579826.3 POSE x=0.07 y=0.10 d11=0.336 d3=tick=376949 goal=0 here=0
1789579829.1 POSE x=0.08 y=0.12 d11=0.342 d3=tick=377219 goal=0 here=0
1789579832.1 POSE x=0.09 y=0.13 d11=0.327 d3=tick=377519 goal=0 here=0
1789579834.9 POSE x=0.09 y=0.14 d11=0.313 d3=tick=377799 goal=0 here=0
1789579837.6 POSE x=0.10 y=0.16 d11=0.307 d3=tick=378076 goal=0 here=0
1789579840.1 POSE x=0.11 y=0.17 d11=0.308 d3=tick=378327 goal=0 here=0
1789579842.9 POSE x=0.12 y=0.18 d11=0.315 d3=tick=378604 goal=0 here=0
1789579845.8 POSE x=0.13 y=0.20 d11=0.312 d3=tick=378896 goal=0 here=0
1789579848.6 POSE x=0.14 y=0.21 d11=0.292 d3=tick=379176 goal=0 here=0
1789579851.4 POSE x=0.14 y=0.22 d11=0.306 d3=tick=379450 goal=0 here=0
1789579854.0 POSE x=0.15 y=0.23 d11=0.319 d3=tick=379712 goal=0 here=0
1789579856.6 POSE x=0.16 y=0.25 d11=0.324 d3=tick=379977 goal=0 here=0
1789579859.5 POSE x=0.17 y=0.26 d11=0.316 d3=tick=380262 goal=0 here=0
1789579862.0 POSE x=0.18 y=0.27 d11=0.298 d3=tick=380513 goal=0 here=0
1789579864.7 POSE x=0.19 y=0.29 d11=0.307 d3=tick=380787 goal=0 here=0
