0.04 192.3 [0.13, 0.161, 0.28, 0.234, 0.263, 0.224, 0.381, 1.136, 1.357, 0.54, 0.449, 0.75, 0.806, 0.881, 0.204, 0.223]
0.23 192.1 [0.121, 0.166, 0.285, 0.236, 0.268, 0.241, 0.392, 1.155, 1.355, 0.433, 0.459, 0.72, 0.806, 0.304, 0.205, 0.206]
0.42 188.2 [0.142, 0.155, 0.288, 0.258, 0.262, 0.24, 0.409, 1.196, 1.345, -1.0, 0.47, 0.713, 0.802, 0.292, 0.211, 0.189]
0.61 193.5 [0.111, 0.185, 0.278, 0.266, 0.259, 0.242, 0.404, 1.224, 1.354, 0.411, 0.475, 0.723, 0.805, 0.261, 0.22, 0.173]
0.8 191.2 [0.117, 0.199, 0.272, 0.255, 0.269, 0.224, 0.417, 1.272, 1.357, 0.402, 0.47, 0.733, 0.814, 0.246, 0.225, 0.177]
0.99 193.4 [0.115, 0.229, 0.275, 0.258, 0.26, 0.243, 0.44, 1.339, 1.371, 0.377, 0.692, 0.747, 0.811, 0.229, 0.231, 0.166]
1.18 195.9 [0.114, 0.219, 0.267, 0.257, 0.262, 0.233, 0.511, 1.334, 1.374, 0.382, 0.681, 0.744, 0.811, 0.245, 0.214, 0.167]
1.37 194.8 [0.125, 0.228, 0.268, 0.263, 0.233, 0.25, 0.51, 1.317, 1.394, 0.389, 0.687, 0.751, 0.787, 0.209, 0.219, 0.162]
1.57 198.3 [0.115, 0.248, 0.248, 0.257, 0.266, 0.243, -1.0, 1.31, 1.42, 0.396, 0.699, 0.764, 0.832, 0.247, 0.22, 0.171]
1.76 201.5 [0.102, 0.239, 0.265, 0.265, 0.238, 0.248, 0.534, 1.29, 1.438, 0.409, 0.705, 0.775, 0.801, 0.215, 0.215, 0.156]
1.95 200.0 [0.096, 0.248, 0.25, 0.252, 0.233, 0.264, 0.535, 1.272, 0.572, 0.425, 0.719, 0.761, 0.819, 0.215, 0.207, 0.143]
2.14 197.7 [0.109, 0.245, 0.256, 0.259, 0.246, 0.261, -1.0, 1.296, 0.577, 0.429, 0.731, 0.788, 0.843, 0.212, 0.211, 0.155]
2.33 199.2 [0.104, 0.265, 0.26, 0.257, 0.227, 0.267, 0.548, 1.306, 0.544, -1.0, 0.736, 0.796, 0.865, 0.208, 0.237, 0.166]
2.52 199.5 [0.124, 0.251, 0.262, 0.253, 0.241, 0.289, 0.567, 1.318, 0.576, 0.451, 0.752, 0.82, 0.89, 0.227, 0.231, 0.163]
2.71 204.5 [0.13, 0.255, 0.252, 0.266, 0.236, 0.274, 0.574, 1.326, 0.562, 0.43, 0.787, 0.807, 0.902, 0.227, 0.226, 0.145]
2.9 204.8 [0.133, 0.252, 0.251, 0.256, 0.25, 0.295, 0.604, 1.361, 0.564, 0.437, 0.795, 0.794, 0.904, 0.214, 0.222, 0.131]
