0.05 291.3 0.24,0.26,0.33,0.32,0.35,0.43,0.72,2.78,0.38,0.28,0.18,0.16,0.22,0.23,0.14,0.14
0.21 287.9 0.22,0.23,0.32,0.34,0.29,0.40,0.70,2.84,0.67,0.29,0.21,0.16,0.20,0.26,0.15,0.14
0.37 284.0 0.20,0.24,0.28,0.34,0.27,0.40,0.61,1.95,0.76,0.30,0.25,0.16,0.18,0.27,0.14,0.12
0.54 282.0 0.16,0.21,0.25,0.31,0.30,0.38,0.49,1.05,1.08,0.32,0.27,0.13,0.19,0.25,0.15,0.12
0.7 274.5 0.13,0.21,0.22,0.30,0.33,0.34,0.45,0.85,1.93,0.35,0.27,0.15,0.17,0.24,0.16,0.13
0.86 269.9 0.14,0.20,0.22,0.31,0.32,0.28,0.42,0.72,2.79,0.39,0.28,0.17,0.18,0.24,0.16,0.11
1.03 269.9 0.12,0.18,0.22,0.25,0.29,0.28,0.39,-1.00,2.88,0.71,0.30,0.20,0.16,0.19,0.20,0.10
1.19 259.8 0.11,0.15,0.22,0.23,0.30,0.29,0.41,0.58,1.78,0.80,0.32,0.19,0.17,0.21,0.22,0.10
1.35 257.2 0.11,0.12,0.20,0.21,0.31,0.31,0.36,0.49,1.11,1.13,0.32,0.22,0.16,0.20,0.24,0.08
1.52 250.3 0.09,0.09,0.17,0.21,0.30,0.33,0.31,0.44,0.81,2.82,0.40,0.28,0.16,0.19,0.24,0.10
1.68 247.8 0.09,0.10,0.16,0.20,0.25,0.32,0.28,0.43,0.73,2.83,0.41,0.30,0.17,0.18,0.23,0.12
1.85 237.7 0.11,0.10,0.15,0.19,0.22,0.32,0.28,0.41,0.68,2.88,0.71,0.31,0.20,0.18,0.23,0.14
2.01 237.6 0.10,0.09,0.15,0.22,0.20,0.28,0.30,0.39,0.55,1.45,0.86,0.34,0.20,0.16,0.20,0.21
2.17 228.9 0.10,0.11,0.12,0.20,0.20,0.30,0.32,0.34,0.48,1.09,1.15,0.35,0.24,0.18,0.20,0.22
2.33 226.2 0.13,0.09,0.10,0.19,-1.00,0.29,0.33,0.32,0.44,0.79,2.86,0.38,0.28,0.14,0.20,0.23
2.5 222.8 0.14,0.10,0.08,0.17,0.20,0.26,0.34,0.30,0.42,0.72,2.85,0.45,0.29,0.16,0.17,0.22
2.67 221.6 0.18,0.10,0.09,0.14,0.21,0.23,0.32,0.29,0.41,0.68,2.90,0.73,0.33,0.18,0.15,0.23
2.99 212.7 0.24,0.09,0.09,0.11,0.21,0.23,0.30,0.33,0.32,0.46,0.95,1.50,0.34,0.26,0.17,0.21
3.15 205.9 0.23,0.12,0.10,0.11,0.17,0.20,0.32,0.34,0.30,0.44,0.79,2.86,0.38,0.29,0.15,0.18
3.32 198.1 0.23,0.12,0.07,0.10,0.15,0.21,0.26,0.31,0.27,0.43,0.72,2.88,0.44,0.29,0.15,0.17
3.48 197.8 0.22,0.20,0.08,0.09,0.16,0.22,0.22,0.31,0.31,0.41,0.66,2.89,0.73,0.32,0.19,0.18
3.64 192.5 0.22,0.23,0.10,0.10,0.12,0.21,0.22,0.31,0.28,0.40,0.53,1.14,0.91,0.32,0.21,0.16
3.81 187.2 0.19,0.23,0.09,0.09,0.12,0.19,0.20,0.31,0.33,0.30,0.46,0.92,1.75,0.34,0.25,0.16
3.97 181.1 0.17,0.24,0.10,0.10,0.12,0.16,0.21,0.32,0.34,0.29,0.44,0.76,2.85,0.40,0.28,0.17
4.13 173.6 0.17,0.23,0.15,0.08,0.09,0.15,0.22,0.24,0.33,0.29,0.41,0.70,2.90,0.46,0.30,0.17
4.3 175.0 0.17,0.21,0.20,0.10,0.11,0.15,0.20,0.22,0.29,0.29,0.38,0.64,2.02,0.74,0.31,0.18
4.46 165.4 0.16,0.21,0.20,0.10,0.10,0.11,0.21,0.22,0.32,0.30,0.38,0.52,1.12,1.09,0.31,0.21
4.63 163.0 0.14,0.18,0.22,0.13,0.09,0.11,0.19,0.23,0.31,0.34,0.32,0.46,0.93,1.75,0.35,0.26
4.79 158.7 0.16,0.17,0.22,0.13,0.09,0.11,0.17,0.20,0.33,0.34,0.32,0.45,0.75,2.83,0.37,0.29
4.95 154.1 0.15,0.15,0.23,0.19,0.10,-1.00,0.14,0.23,0.27,0.35,0.30,0.41,0.72,2.87,0.42,0.29
5.12 152.7 0.17,0.14,0.18,0.21,0.11,0.08,0.13,0.23,0.25,0.34,0.32,0.43,0.65,2.02,0.73,0.29
5.28 140.6 0.17,0.12,0.17,0.23,0.13,0.09,0.12,0.20,0.25,0.34,0.33,0.41,0.55,1.11,1.09,0.29
5.45 141.3 0.24,0.12,0.15,0.19,0.18,0.11,0.12,0.19,0.24,0.34,0.37,0.39,0.49,0.95,1.76,0.30
5.77 130.6 0.27,0.13,0.11,0.16,0.20,0.13,0.11,0.13,0.25,0.31,0.36,0.33,0.45,0.72,2.84,0.37
5.94 122.0 0.25,0.15,0.11,0.14,0.18,0.17,0.12,0.11,0.25,0.26,0.36,0.33,0.42,0.69,1.98,0.69
6.1 119.4 0.27,0.17,0.09,0.11,0.18,0.19,0.12,0.14,0.23,0.28,0.36,0.33,0.42,0.60,1.13,0.86
6.27 112.3 0.26,0.20,0.11,0.11,0.14,0.20,0.15,0.12,0.20,0.29,0.35,0.35,0.42,0.51,1.07,1.72
6.43 110.4 0.29,0.23,0.12,0.11,0.13,0.21,0.16,0.12,0.16,0.28,0.39,0.36,0.40,0.48,0.79,2.77
6.59 106.9 0.35,0.23,0.15,0.10,0.10,0.19,0.20,0.14,0.14,0.28,0.36,0.40,0.38,0.45,0.71,2.84
6.76 103.6 0.67,0.23,0.17,0.09,0.10,0.17,0.22,0.16,0.13,0.28,0.32,0.40,0.35,0.43,0.67,1.94
6.92 94.9 1.01,0.22,0.20,0.09,0.07,0.15,0.23,0.18,0.15,0.28,0.31,0.39,0.33,0.42,0.62,1.10
7.08 94.1 1.86,0.25,0.21,0.13,0.09,0.12,0.23,0.20,0.16,0.25,0.31,0.39,0.34,0.41,0.56,1.03
7.24 87.3 2.74,0.29,0.20,0.16,0.10,0.11,0.20,0.20,0.17,0.20,0.31,0.39,0.35,0.40,0.47,0.78
7.41 85.4 2.79,0.32,0.22,0.18,0.11,0.10,0.18,0.23,0.17,0.19,0.31,0.40,0.38,0.40,0.47,0.70
7.57 82.3 1.77,0.67,0.21,0.19,0.09,0.10,0.13,0.24,0.18,0.18,0.31,0.36,0.38,0.35,0.41,0.67
7.74 72.7 1.05,1.00,0.23,0.18,0.14,0.12,0.10,0.24,0.19,0.20,0.33,0.34,0.41,0.34,0.41,0.62
7.9 72.9 1.00,2.73,0.25,0.20,0.15,0.14,0.11,0.21,0.23,0.19,0.32,0.32,0.40,0.30,0.40,0.53
8.07 60.8 0.74,2.74,0.31,0.20,0.17,0.12,0.11,0.18,0.26,0.18,0.26,0.32,0.40,0.33,0.40,0.46
8.23 58.7 0.67,2.77,0.59,0.20,0.18,0.14,0.12,0.14,0.25,0.19,0.24,0.34,0.40,0.34,0.37,0.44
8.4 53.9 0.64,1.63,0.75,0.23,0.19,0.17,0.12,0.13,0.28,0.22,0.24,0.33,0.42,0.36,0.35,0.40
8.56 51.8 0.57,1.01,1.59,0.23,0.19,0.16,0.14,0.13,0.27,0.24,0.21,0.32,0.37,0.39,0.31,0.38
8.72 46.5 0.50,0.80,2.73,0.28,0.21,0.21,0.14,0.15,0.24,0.25,0.21,0.33,0.36,0.36,0.31,0.36
8.88 40.5 0.45,0.67,2.75,0.37,0.20,0.20,0.15,0.12,0.15,0.29,0.21,0.33,0.35,-1.00,0.30,0.38
9.05 37.3 0.38,0.60,2.76,0.63,0.23,0.19,0.17,0.15,0.15,0.30,0.24,0.30,0.35,0.40,0.29,0.36
9.21 36.2 0.37,0.57,1.28,0.95,0.26,0.22,0.19,0.15,0.16,0.30,0.25,0.26,0.34,0.39,0.32,0.35
9.37 26.9 0.36,0.53,0.96,1.64,0.30,0.19,0.20,0.16,0.14,0.31,0.25,0.25,0.33,0.40,0.34,0.33
9.53 22.7 0.34,0.44,0.72,2.70,0.36,0.22,0.20,0.19,0.16,0.29,0.25,0.24,-1.00,0.38,0.34,0.29
9.7 21.3 0.33,0.38,0.61,2.73,0.59,0.26,0.20,0.20,0.16,0.23,0.30,0.25,0.32,0.35,0.35,0.26
9.86 14.8 0.32,0.35,0.55,1.84,0.75,0.26,0.23,0.21,0.18,0.20,0.33,0.25,0.34,0.33,0.36,0.26
10.02 8.7 0.32,0.35,0.51,0.98,1.32,0.30,0.25,0.23,0.20,0.17,0.35,0.25,0.32,0.34,0.36,0.26
10.18 4.1 0.30,0.32,0.44,0.77,2.67,0.37,0.25,0.22,0.22,0.18,0.35,0.23,0.29,0.33,0.35,0.31
10.35 357.6 0.26,0.32,0.38,0.64,2.66,0.59,0.27,0.23,0.23,0.18,0.33,0.27,0.28,0.34,0.39,0.32
10.51 356.3 0.24,0.31,0.34,0.58,2.72,0.69,0.29,0.24,0.23,0.21,0.30,0.28,0.25,0.34,0.34,0.34
10.67 353.4 0.23,0.29,0.30,0.52,1.32,0.96,0.31,0.25,0.25,0.20,0.25,0.32,0.26,0.33,0.30,0.33
10.83 350.9 0.25,0.28,0.32,0.46,0.95,1.58,0.39,0.24,0.25,0.22,0.24,0.35,0.26,0.32,0.30,0.34
11.0 342.5 0.27,0.24,0.29,0.37,0.67,2.71,0.58,0.27,0.26,0.23,0.22,0.37,0.25,0.31,0.29,0.33
11.16 335.6 0.31,0.21,0.27,0.33,0.59,2.73,0.66,0.29,0.26,0.26,0.22,0.35,0.25,0.30,0.31,0.34
11.32 332.3 0.30,0.22,0.27,0.31,0.52,2.75,0.95,0.34,0.29,0.25,0.21,0.35,0.24,0.31,0.32,0.35
11.48 330.3 0.30,0.21,0.26,0.28,0.49,0.98,1.02,0.37,0.27,0.29,0.22,0.33,0.30,0.27,0.31,0.30
11.81 318.8 0.28,0.25,0.18,0.26,0.32,0.60,2.74,0.64,0.31,0.30,0.23,0.26,0.36,0.25,0.30,0.27
11.97 316.2 0.32,0.27,0.20,0.28,0.30,0.56,2.77,0.72,0.34,0.30,0.27,0.25,0.36,0.25,0.28,0.28
12.13 311.4 0.31,0.28,0.17,0.26,0.29,0.51,1.88,0.97,0.36,0.29,0.27,0.24,0.37,0.25,0.28,0.28
12.3 306.3 0.28,0.29,0.19,0.20,0.26,0.38,0.97,1.35,0.41,0.30,0.29,0.25,0.37,0.25,0.28,0.27
12.46 303.3 0.26,0.27,0.23,0.20,0.26,0.32,0.65,1.87,0.60,0.32,0.30,0.27,-1.00,0.25,0.23,0.25
12.62 297.1 0.25,0.25,0.24,0.19,0.26,0.29,0.60,2.73,0.66,0.36,0.33,0.26,0.31,0.25,0.24,0.29
12.78 289.4 0.24,0.30,0.25,0.17,0.22,0.29,0.54,2.77,0.79,0.38,0.32,0.26,0.29,0.31,0.23,0.28
12.94 287.4 0.25,0.27,0.24,0.20,0.19,0.29,0.41,1.70,1.03,0.40,0.33,0.28,0.27,0.33,0.23,0.24
