0.0 86.9 0.547 [2.081, 0.644, 0.317, 0.17, 0.162, 0.173, 0.269, 0.326, 0.894, 0.96, 0.474, 0.38, 0.291, 0.304, 0.402, 0.62]
0.6 81.2 0.543 [2.102, 0.651, 0.305, -1.0, 0.157, 0.191, 0.263, 0.319, 0.892, 0.951, 0.495, 0.367, 0.296, 0.284, 0.401, 0.624]
1.1 83.8 0.54 [2.104, 0.661, 0.321, 0.17, 0.165, 0.185, 0.248, 0.338, 0.91, 0.95, 0.491, 0.394, 0.266, 0.293, 0.406, 0.608]
1.6 84.5 0.532 [2.095, 0.653, 0.316, 0.172, 0.165, 0.181, 0.269, 0.313, 0.912, 0.947, 0.477, 0.363, 0.257, 0.281, 0.393, 0.607]
2.2 83.6 0.535 [2.09, 0.646, 0.329, 0.179, 0.18, 0.175, 0.258, 0.315, 0.881, 0.938, 0.482, 0.363, 0.287, 0.291, 0.405, 0.615]
2.7 82.4 0.559 [2.09, 0.658, 0.314, 0.174, 0.165, 0.171, 0.255, 0.323, 0.881, 0.946, 0.485, 0.361, 0.274, 0.284, 0.4, 0.621]
3.2 87.2 0.554 [2.1, 0.666, 0.327, 0.174, 0.178, 0.182, 0.259, 0.332, 0.884, 0.956, 0.502, 0.349, 0.282, 0.299, 0.399, 0.602]
3.7 79.1 0.561 [2.092, 0.657, 0.328, 0.183, 0.162, 0.182, 0.246, 0.308, 0.915, 0.947, 0.477, 0.346, 0.287, 0.305, 0.395, 0.611]
4.3 86.0 0.543 [2.09, 0.651, 0.311, 0.166, 0.16, 0.191, 0.25, 0.296, 0.888, 0.954, 0.472, 0.373, 0.265, 0.295, 0.406, 0.619]
4.8 85.6 0.543 [2.083, 0.65, 0.324, 0.177, 0.175, 0.191, 0.261, 0.335, 0.909, 0.964, 0.482, 0.367, 0.291, 0.284, 0.391, 0.629]
5.3 84.0 0.54 [2.098, 0.664, 0.318, 0.174, 0.162, 0.194, 0.251, 0.319, 0.901, 0.939, 0.448, 0.383, 0.294, -1.0, 0.411, 0.602]
5.9 83.5 0.543 [2.096, 0.635, 0.349, 0.192, 0.162, 0.167, 0.242, 0.314, 0.886, 0.951, 0.47, 0.345, 0.258, 0.286, 0.414, 0.616]
6.4 81.3 0.558 [2.077, 0.658, 0.325, 0.191, 0.157, 0.176, 0.25, 0.318, 0.886, 0.944, 0.494, 0.386, 0.275, 0.296, 0.388, 0.613]
6.9 84.4 0.552 [2.09, 0.669, 0.315, 0.164, 0.148, 0.187, 0.245, 0.329, 0.901, 0.945, 0.485, 0.352, 0.256, 0.289, 0.384, 0.617]
7.5 85.5 0.543 [2.089, 0.645, 0.319, 0.172, 0.152, 0.18, 0.249, 0.312, 0.878, 0.939, 0.483, 0.373, 0.275, 0.276, 0.41, 0.601]
8.0 83.9 0.558 [2.084, 0.654, 0.319, 0.193, 0.154, 0.173, 0.254, 0.318, 0.903, 0.937, 0.484, 0.378, 0.281, 0.265, 0.391, 0.612]
8.5 86.4 0.554 [2.092, 0.658, 0.34, 0.19, 0.158, 0.193, 0.264, 0.319, 0.889, 0.947, 0.482, 0.36, 0.274, 0.281, 0.398, 0.605]
9.1 85.1 0.551 [2.102, 0.646, 0.333, 0.192, 0.168, 0.18, 0.251, 0.316, 0.888, 0.919, 0.473, 0.393, 0.267, 0.309, 0.393, 0.615]
9.6 81.9 0.543 [2.078, 0.657, 0.321, 0.173, -1.0, 0.188, 0.253, 0.33, 0.878, 0.949, 0.496, 0.363, 0.29, 0.265, 0.375, 0.621]
10.1 85.2 0.542 [2.088, 0.654, 0.317, 0.178, 0.162, 0.174, 0.255, 0.31, 0.891, 0.951, 0.485, 0.379, 0.283, 0.296, 0.415, 0.615]
10.6 83.9 0.548 [2.091, 0.65, 0.323, -1.0, 0.164, 0.169, 0.247, 0.315, 0.875, 0.938, 0.473, 0.371, 0.27, 0.294, 0.41, 0.617]
11.2 84.1 0.543 [2.092, 0.645, 0.329, 0.185, 0.169, 0.179, 0.254, 0.319, 0.904, 0.954, 0.489, 0.351, 0.27, 0.284, 0.383, 0.615]
11.7 86.6 0.551 [2.093, 0.671, 0.325, 0.187, 0.17, 0.182, 0.259, 0.301, 0.872, 0.96, 0.48, 0.365, 0.275, 0.302, 0.402, 0.615]
12.2 84.6 0.549 [2.102, 0.649, 0.331, 0.189, 0.153, -1.0, 0.26, 0.33, 0.899, 0.938, 0.484, 0.387, 0.275, 0.278, 0.43, 0.606]
12.8 83.0 0.552 [2.097, 0.672, 0.318, 0.185, 0.169, 0.191, 0.264, 0.321, 0.898, 0.95, 0.491, 0.367, 0.289, 0.276, 0.408, 0.625]
13.3 81.0 0.538 [2.091, 0.668, 0.323, 0.173, 0.167, 0.195, 0.26, 0.324, 0.891, 0.948, 0.477, 0.359, 0.276, 0.29, 0.4, 0.608]
13.8 82.8 0.544 [2.094, 0.66, 0.338, 0.187, 0.176, 0.175, 0.271, 0.316, 0.894, 0.946, 0.478, 0.383, 0.267, 0.291, 0.416, 0.61]
14.4 86.5 0.548 [2.095, 0.659, 0.321, 0.179, 0.177, 0.189, 0.269, 0.297, 0.886, 0.948, 0.472, 0.366, 0.292, 0.277, 0.397, 0.623]
14.9 83.0 0.556 [2.097, 0.66, 0.323, 0.184, 0.167, 0.188, 0.259, 0.321, 0.897, 0.943, 0.488, 0.363, 0.271, 0.292, 0.402, 0.611]
15.4 81.9 0.543 [2.102, 0.672, 0.321, 0.174, 0.15, 0.185, 0.251, 0.326, 0.894, 0.944, 0.471, 0.372, 0.268, 0.277, 0.423, 0.607]
15.9 80.7 0.55 [2.083, 0.647, 0.32, 0.177, 0.164, 0.191, 0.251, 0.318, 0.889, 0.953, 0.479, 0.368, 0.277, 0.297, 0.405, 0.603]
16.5 81.0 0.537 [2.079, 0.655, 0.324, 0.164, 0.158, 0.187, 0.263, 0.334, 0.902, 0.945, 0.485, 0.361, 0.282, 0.272, 0.395, 0.613]
17.0 81.7 0.54 [2.094, 0.656, 0.323, 0.18, 0.149, 0.193, 0.261, 0.318, -1.0, 0.955, 0.496, 0.37, 0.285, 0.292, 0.391, 0.602]
17.6 85.8 0.557 [2.097, 0.651, 0.302, 0.181, 0.161, 0.163, 0.248, 0.317, 0.898, 0.943, 0.486, 0.361, -1.0, 0.278, 0.418, 0.62]
18.1 79.8 0.555 [2.091, 0.664, 0.333, 0.161, 0.159, 0.179, 0.26, 0.322, 0.905, 0.954, 0.472, 0.364, 0.28, 0.312, 0.395, 0.609]
18.6 81.5 0.564 [2.093, 0.659, 0.322, 0.162, 0.161, 0.18, 0.27, 0.297, 0.89, 0.962, 0.473, 0.36, 0.283, 0.295, 0.407, 0.613]
19.2 83.6 0.556 [2.095, 0.653, 0.335, 0.169, 0.162, 0.177, 0.254, 0.301, 0.894, 0.959, 0.484, 0.372, 0.27, 0.284, 0.398, 0.59]
19.7 81.6 0.554 [2.097, 0.649, 0.339, 0.18, 0.158, 0.196, 0.252, 0.314, 0.901, 0.942, 0.491, 0.357, 0.28, 0.29, 0.391, 0.631]
20.3 83.0 0.554 [2.095, 0.654, 0.337, 0.189, 0.172, 0.182, 0.26, 0.318, 0.896, 0.944, 0.486, 0.383, -1.0, 0.284, 0.412, 0.618]
20.8 82.4 0.555 [2.096, 0.648, 0.335, 0.18, 0.155, 0.17, 0.257, 0.328, 0.89, 0.955, 0.494, 0.369, 0.268, 0.281, 0.404, 0.608]
21.3 86.9 0.557 [2.088, 0.674, 0.34, 0.174, 0.167, 0.185, 0.261, 0.313, 0.887, 0.962, 0.478, 0.362, 0.291, 0.271, 0.398, 0.63]
21.8 79.9 0.538 [2.105, 0.64, 0.336, 0.183, 0.16, 0.168, 0.245, 0.319, 0.899, 0.938, 0.502, 0.373, 0.289, 0.293, 0.413, 0.606]
22.4 81.4 0.544 [2.106, 0.634, 0.322, 0.17, 0.16, 0.17, 0.247, 0.321, 0.898, 0.96, 0.474, 0.355, 0.278, 0.285, 0.399, 0.603]
22.9 86.5 0.544 [2.1, 0.654, 0.324, 0.18, 0.173, 0.169, 0.253, 0.314, 0.911, 0.943, 0.484, 0.353, 0.271, 0.282, 0.399, 0.606]
23.4 82.1 0.546 [2.093, 0.664, 0.33, 0.177, 0.17, -1.0, 0.255, 0.313, 0.89, 0.945, 0.492, 0.358, 0.257, 0.304, 0.396, 0.612]
24.0 84.7 0.537 [2.076, 0.65, 0.321, 0.204, 0.166, 0.174, 0.267, 0.312, 0.871, 0.932, 0.483, 0.38, 0.273, 0.3, 0.409, 0.614]
24.5 81.2 0.531 [2.065, 0.65, 0.322, 0.191, 0.15, 0.185, 0.269, 0.313, 0.89, 0.948, 0.487, 0.345, 0.286, 0.282, 0.394, 0.613]
25.0 81.2 0.545 [2.093, 0.668, 0.315, 0.174, 0.175, 0.173, 0.266, 0.318, 0.895, 0.958, 0.493, 0.359, 0.259, 0.295, 0.38, 0.637]
25.6 82.4 0.553 [2.091, 0.664, 0.33, 0.175, 0.167, 0.19, 0.26, 0.323, 0.885, 0.953, 0.473, -1.0, 0.283, 0.286, 0.401, 0.614]
26.1 81.6 0.55 [2.095, 0.673, 0.31, 0.17, 0.169, 0.173, 0.269, 0.325, 0.922, 0.942, 0.48, 0.377, 0.261, 0.271, 0.392, 0.606]
26.6 78.9 0.56 [2.097, 0.666, 0.334, 0.184, 0.163, 0.177, 0.226, 0.31, 0.904, 0.941, 0.498, 0.377, 0.263, 0.291, 0.396, 0.631]
27.2 83.0 0.552 [2.092, 0.651, 0.321, 0.181, 0.158, 0.193, 0.255, 0.33, 0.897, 0.925, 0.488, 0.356, 0.285, 0.293, 0.401, 0.611]
27.7 83.7 0.549 [2.105, 0.65, 0.319, 0.175, 0.178, 0.176, 0.258, 0.317, 0.891, 0.949, 0.488, 0.368, 0.275, 0.267, 0.399, 0.616]
