0.00 0.00 0.0 | 0.52,0.00 0.23,-0.10 0.13,-0.13 0.05,-0.13 0.00,-0.10 -0.04,-0.11 -0.10,-0.10 -0.15,-0.06 -0.17,-0.00 -0.19,0.08 -0.24,0.24 -0.16,0.38 -0.00,0.35 0.20,0.47 0.72,0.72 1.22,0.50
-0.03 -0.01 14.4 | 0.49,0.13 0.21,-0.04 0.14,-0.10 0.06,-0.12 -0.00,-0.10 -0.04,-0.09 -0.11,-0.15 -0.15,-0.10 -0.17,-0.04 -0.19,0.02 -0.30,0.16 -0.26,0.30 -0.12,0.36 0.05,0.52 0.49,0.87 1.05,0.80
-0.05 -0.01 16.8 | 0.48,0.15 0.22,-0.04 0.12,-0.10 0.02,-0.10 -0.02,-0.11 -0.06,-0.11 -0.13,-0.16 -0.15,-0.09 -0.18,-0.05 -0.21,0.00 -0.32,0.13 -0.31,0.30 -0.16,0.35 -0.00,0.50 0.44,0.91 0.99,0.84
-0.08 -0.02 15.6 | 0.47,0.14 0.20,-0.05 0.09,-0.11 -0.01,-0.11 -0.06,-0.10 -0.09,-0.13 -0.15,-0.14 -0.18,-0.10 -0.17,-0.04 -0.21,-0.00 -0.33,0.13 -0.19,0.37 -0.01,0.50 0.44,0.91 1.00,0.83
-0.10 -0.03 16.9 | 0.44,0.14 0.18,-0.05 0.05,-0.11 -0.02,-0.12 -0.08,-0.12 -0.12,-0.15 -0.17,-0.15 -0.20,-0.05 -0.23,-0.01 -0.33,0.09 -0.33,0.25 -0.22,0.37 -0.05,0.49 0.39,0.91 0.96,0.85
-0.13 -0.03 15.1 | 0.42,0.12 0.14,-0.07 0.01,-0.11 -0.07,-0.11 -0.10,-0.13 -0.15,-0.15 -0.20,-0.15 -0.20,-0.08 -0.22,-0.06 -0.24,-0.02 -0.36,0.10 -0.35,0.26 -0.24,0.36 -0.06,0.48 0.40,0.89 0.97,0.82
-0.16 -0.04 20.8 | 0.37,0.16 0.12,-0.05 -0.00,-0.11 -0.08,-0.12 -0.12,-0.13 -0.16,-0.15 -0.21,-0.17 -0.22,-0.10 -0.25,-0.07 -0.27,-0.03 -0.39,0.07 -0.41,0.23 -0.30,0.34 -0.14,0.48 0.28,0.94 0.84,0.90
-0.18 -0.05 12.6 | 0.36,0.08 0.10,-0.09 -0.04,-0.14 -0.12,-0.13 -0.16,-0.15 -0.21,-0.18 -0.25,-0.16 -0.26,-0.10 -0.27,-0.07 -0.30,-0.02 -0.41,0.10 -0.39,0.25 -0.09,0.48 0.39,0.86 0.96,0.76
-0.21 -0.05 16.3 | 0.32,0.10 0.07,-0.08 -0.07,-0.13 -0.14,-0.14 -0.18,-0.15 -0.22,-0.19 -0.26,-0.16 -0.28,-0.11 -0.29,-0.08 -0.33,-0.04 -0.45,0.08 -0.44,0.24 -0.32,0.33 -0.15,0.50 0.30,0.88 0.89,0.83
-0.23 -0.06 16.5 | 0.31,0.10 0.04,-0.09 -0.10,-0.13 -0.16,-0.14 -0.20,-0.16 -0.25,-0.20 -0.29,-0.15 -0.30,-0.12 -0.32,-0.09 -0.36,-0.05 -0.48,0.08 -0.47,0.23 -0.35,0.33 -0.18,0.48 0.27,0.86 0.86,0.82
-0.26 -0.07 16.1 | 0.27,0.09 0.01,-0.10 -0.11,-0.15 -0.20,-0.15 -0.23,-0.17 -0.27,-0.20 -0.31,-0.16 -0.33,-0.13 -0.35,-0.09 -0.38,-0.05 -0.50,0.06 -0.50,0.24 -0.37,0.32 -0.20,0.47 0.25,0.85 0.85,0.82
-0.28 -0.08 14.4 | 0.24,0.06 -0.02,-0.11 -0.15,-0.15 -0.22,-0.16 -0.26,-0.17 -0.30,-0.21 -0.34,-0.18 -0.36,-0.13 -0.37,-0.10 -0.40,-0.06 -0.53,0.07 -0.51,0.23 -0.38,0.32 -0.21,0.47 0.25,0.83 0.86,0.79
-0.31 -0.08 17.9 | 0.17,0.07 -0.04,-0.10 -0.18,-0.15 -0.24,-0.16 -0.28,-0.18 -0.32,-0.21 -0.37,-0.19 -0.39,-0.15 -0.39,-0.11 -0.42,-0.07 -0.55,0.04 -0.55,0.20 -0.43,0.29 -0.27,0.46 0.18,0.87 -0.14,0.06
-0.34 -0.09 15.7 | 0.05,0.02 -0.06,-0.12 -0.21,-0.16 -0.27,-0.17 -0.31,-0.18 -0.40,-0.21 -0.42,-0.15 -0.43,-0.12 -0.46,-0.08 -0.58,0.05 -0.57,0.21 -0.44,0.28 -0.27,0.45 0.19,0.85 0.79,0.79
-0.36 -0.10 19.6 | 0.01,0.03 -0.08,-0.11 -0.23,-0.16 -0.29,-0.17 -0.32,-0.21 -0.37,-0.23 -0.42,-0.21 -0.43,-0.16 -0.45,-0.13 -0.49,-0.09 -0.61,0.02 -0.62,0.19 -0.49,0.27 -0.33,0.45 0.10,0.88 0.71,0.87
-0.39 -0.11 18.3 | -0.02,0.01 -0.12,-0.13 -0.26,-0.17 -0.32,-0.19 -0.36,-0.20 -0.39,-0.22 -0.44,-0.22 -0.45,-0.16 -0.48,-0.14 -0.51,-0.10 -0.63,0.01 -0.64,0.19 -0.51,0.26 -0.35,0.42 0.09,0.83 0.71,0.84
-0.41 -0.11 18.5 | -0.06,0.00 -0.14,-0.13 -0.28,-0.18 -0.34,-0.19 -0.38,-0.22 -0.42,-0.25 -0.47,-0.23 -0.48,-0.18 -0.49,-0.14 -0.55,-0.11 -0.65,0.01 -0.66,0.17 -0.54,0.25 -0.37,0.44 0.07,0.85 0.69,0.85
-0.44 -0.12 22.3 | -0.10,0.01 -0.16,-0.13 -0.30,-0.18 -0.38,-0.18 -0.41,-0.20 -0.44,-0.27 -0.49,-0.24 -0.52,-0.20 -0.53,-0.16 -0.57,-0.12 -0.71,-0.01 -0.70,0.14 -0.59,0.25 -0.44,0.43 -0.03,0.85 0.59,0.90
-0.46 -0.13 21.5 | -0.13,-0.00 -0.33,-0.19 -0.39,-0.21 -0.46,-0.27 -0.51,-0.25 -0.52,-0.19 -0.55,-0.17 -0.59,-0.13 -0.74,-0.01 -0.73,0.14 -0.60,0.22 -0.45,0.42 -0.04,0.84 0.58,0.88
-0.46 -0.13 17.5 | -0.12,-0.03 -0.19,-0.16 -0.36,-0.19 -0.40,-0.21 -0.43,-0.24 -0.48,-0.28 -0.51,-0.23 -0.53,-0.19 -0.56,-0.16 -0.60,-0.12 -0.72,-0.00 -0.72,0.17 -0.58,0.22 -0.42,0.42 0.03,0.82 0.65,0.80
-0.44 -0.12 37.6 | -0.24,0.04 -0.28,-0.07 -0.32,-0.13 -0.34,-0.17 -0.37,-0.20 -0.40,-0.27 -0.46,-0.23 -0.49,-0.21 -0.56,-0.21 -0.74,-0.20 -0.82,-0.07 -0.78,0.08 -0.76,0.30 -0.71,0.89 -0.26,1.24 -0.17,0.35
-0.46 -0.13 39.3 | -0.24,0.05 -0.28,-0.08 -0.35,-0.15 -0.37,-0.18 -0.38,-0.24 -0.42,-0.26 -0.47,-0.23 -0.51,-0.22 -0.55,-0.20 -0.73,-0.22 -0.83,-0.10 -0.84,0.07 -0.80,0.28 -0.77,0.88 -0.33,1.24 -0.20,0.36
-0.48 -0.15 39.4 | -0.27,0.03 -0.31,-0.10 -0.37,-0.16 -0.39,-0.20 -0.39,-0.26 -0.45,-0.27 -0.49,-0.24 -0.53,-0.23 -0.58,-0.23 -0.74,-0.23 -0.84,-0.12 -0.83,0.03 -0.81,0.25 -0.79,0.86 -0.35,1.24 -0.21,0.35
-0.50 -0.17 38.5 | -0.28,0.01 -0.32,-0.11 -0.40,-0.18 -0.41,-0.22 -0.41,-0.29 -0.47,-0.29 -0.52,-0.27 -0.54,-0.24 -0.60,-0.24 -0.77,-0.24 -0.87,-0.13 -0.84,0.02 -0.83,0.24 -0.79,0.84 -0.34,1.23 -0.23,0.34
-0.53 -0.18 37.5 | -0.29,-0.00 -0.35,-0.14 -0.43,-0.20 -0.43,-0.24 -0.49,-0.30 -0.54,-0.28 -0.58,-0.27 -0.63,-0.26 -0.79,-0.26 -0.90,-0.13 -0.87,0.02 -0.85,0.23 -0.80,0.84 -0.34,1.21 -0.25,0.30
-0.55 -0.20 40.7 | -0.34,-0.02 -0.37,-0.14 -0.44,-0.21 -0.45,-0.25 -0.44,-0.32 -0.51,-0.31 -0.55,-0.30 -0.59,-0.28 -0.63,-0.27 -0.81,-0.29 -0.91,-0.17 -0.88,-0.03 -0.89,0.20 -0.88,0.81 -0.44,1.22 -0.29,0.31
-0.57 -0.22 40.6 | -0.34,-0.03 -0.41,-0.17 -0.45,-0.23 -0.46,-0.27 -0.47,-0.33 -0.53,-0.35 -0.57,-0.31 -0.61,-0.30 -0.67,-0.30 -0.83,-0.30 -0.92,-0.19 -0.92,-0.04 -0.92,0.19 -0.90,0.80 -0.46,1.22 -0.32,0.28
-0.59 -0.23 39.6 | -0.37,-0.05 -0.43,-0.19 -0.46,-0.25 -0.49,-0.29 -0.48,-0.36 -0.55,-0.35 -0.60,-0.32 -0.63,-0.31 -0.69,-0.32 -0.85,-0.31 -0.93,-0.05 -0.94,0.19 -0.90,0.78 -0.45,1.18 -0.34,0.23
-0.61 -0.25 41.1 | -0.39,-0.07 -0.45,-0.20 -0.50,-0.26 -0.51,-0.30 -0.51,-0.37 -0.57,-0.36 -0.61,-0.34 -0.65,-0.33 -0.72,-0.35 -0.87,-0.34 -0.95,-0.08 -0.96,0.15 -0.94,0.75 -0.51,1.18 -0.39,0.19
