-0.03 0.00 1.02,0.67,0.41,0.32,0.33,0.34,0.46,0.56,0.54,0.56,0.76,1.39,0.39,0.26,0.27,0.46
-0.08 -0.00 0.91,0.60,0.39,0.31,0.33,0.34,0.46,0.57,0.61,0.63,0.83,1.64,0.20,0.24,0.22,2.08
-0.14 -0.01 0.82,0.55,0.38,0.28,0.32,0.34,0.52,0.61,0.66,0.69,0.95,0.21,0.22,0.21,0.35,2.00
-0.20 -0.01 0.80,0.53,0.38,0.26,0.32,0.35,0.51,0.66,0.69,0.76,1.06,0.24,0.24,0.18,0.33,1.95
-0.25 -0.02 0.77,0.53,0.37,0.28,0.28,0.36,0.47,0.73,0.75,0.81,1.12,0.26,0.19,0.17,0.31,1.92
-0.30 -0.02 0.71,0.67,0.34,0.29,0.26,0.36,0.47,0.73,0.79,0.87,0.31,-1.00,0.16,0.27,0.31,1.89
-0.36 -0.03 0.73,-0.15,0.38,0.30,0.24,0.32,0.43,0.70,0.80,0.85,0.31,0.28,0.15,0.28,0.26,1.90
-0.41 -0.03 0.72,0.73,0.36,0.29,0.27,0.26,0.42,0.71,0.83,0.86,0.32,0.19,0.21,0.27,0.26,1.76
-0.47 -0.02 0.69,0.68,0.35,0.27,0.28,0.29,0.43,0.73,0.86,0.92,0.36,0.18,0.24,0.22,0.99,1.71
-0.52 -0.02 0.63,0.63,0.34,0.31,0.28,0.29,0.43,0.74,0.90,0.98,0.37,0.22,0.24,0.20,1.01,1.67
-0.58 -0.02 0.58,0.60,0.46,0.30,0.28,0.30,0.34,0.73,0.92,1.01,0.23,0.25,0.21,0.20,0.97,1.62
-0.63 -0.02 0.54,0.51,0.48,0.27,0.29,0.31,0.34,0.64,0.97,0.02,0.26,0.28,-0.40,0.69,0.94,0.29
-0.67 -0.01 0.48,0.49,0.53,0.42,0.28,0.26,0.35,0.38,0.89,1.07,0.51,0.27,0.20,0.28,0.82,1.04
-0.71 0.01 1.26,0.45,0.40,0.53,0.38,0.29,0.29,0.37,0.63,1.05,1.07,0.31,0.22,0.20,0.65,0.85
-0.75 0.04 0.96,1.02,0.47,0.40,0.47,0.31,0.32,0.34,0.43,0.94,1.11,0.32,0.27,0.16,0.63,0.79
-0.78 0.07 0.92,1.53,0.41,0.37,0.49,0.38,0.32,0.37,0.46,0.99,1.15,0.31,0.18,0.21,0.62,0.75
-0.82 0.11 1.01,0.39,0.37,0.35,0.50,0.41,0.35,0.41,0.56,1.13,1.14,0.19,0.16,0.24,0.57,0.72
-0.86 0.14 1.02,0.34,0.35,0.34,0.49,0.42,0.38,0.46,0.73,1.18,0.37,0.17,0.19,0.49,0.58,0.71
-0.90 0.17 1.03,0.32,0.31,0.36,0.52,0.46,0.39,0.50,0.82,1.18,0.21,0.21,0.24,0.56,0.60,0.70
-0.94 0.20 1.09,0.28,0.25,0.32,0.50,-0.27,0.42,0.57,0.90,1.23,0.21,0.21,0.45,0.52,0.62,-0.13
-0.99 0.22 1.18,0.78,0.22,0.32,0.51,0.50,0.44,0.60,1.03,1.30,0.25,0.24,0.47,0.50,0.60,0.73
-1.03 0.25 1.21,0.97,0.21,0.33,0.49,0.51,0.47,0.66,1.18,0.29,0.27,0.39,0.55,0.52,0.58,0.68
-1.07 0.27 1.17,0.91,0.14,0.28,0.33,0.52,0.48,0.70,1.23,0.31,0.30,0.47,0.52,0.52,0.55,0.67
-1.13 0.29 1.22,0.62,0.12,0.17,0.31,0.56,0.54,0.75,1.45,0.36,0.35,0.51,0.46,0.53,0.54,0.77
-1.18 0.30 1.16,1.65,0.10,0.13,0.32,0.57,0.63,1.01,1.42,0.34,0.52,0.53,0.50,0.50,0.60,0.89
-1.23 0.30 1.14,1.56,0.12,0.15,0.52,0.56,0.73,1.32,0.40,0.35,0.52,0.48,0.52,0.49,0.57,1.10
-1.28 0.30 1.58,0.09,0.10,0.29,0.58,0.55,0.82,1.43,0.38,-1.00,0.54,0.49,0.50,0.61,0.77,1.15
-1.31 0.29 1.58,0.10,0.15,0.54,0.55,0.73,1.31,0.40,0.35,0.51,0.46,0.52,0.50,0.59,1.09,1.15
-1.34 0.28 1.63,0.09,0.14,0.43,0.54,0.69,1.29,0.39,0.37,0.53,0.47,0.52,0.49,0.58,1.07,1.17
-1.37 0.27 1.58,0.10,0.13,0.54,0.54,0.70,1.32,0.39,0.37,0.51,0.47,0.52,0.49,0.58,1.08,1.15
-1.39 0.26 1.54,0.09,0.16,0.52,0.55,0.74,1.34,0.42,0.36,0.50,0.46,0.53,0.51,0.60,1.10,1.12
-1.43 0.25 1.55,0.10,0.15,0.53,0.53,0.74,1.34,0.40,0.38,0.54,0.46,0.51,0.50,0.60,1.10,1.13
-1.46 0.24 1.61,0.10,0.13,0.43,0.56,0.71,1.31,0.40,0.36,0.51,0.47,0.52,0.50,0.59,1.07,1.16
-1.49 0.23 1.56,0.11,0.15,0.54,0.55,0.72,1.34,0.40,0.38,0.52,0.47,0.52,0.50,0.58,1.09,1.14
-1.52 0.22 1.67,0.09,0.14,0.32,0.56,0.68,1.26,0.42,0.36,0.51,0.46,0.52,0.50,0.58,1.06,1.16
-1.55 0.21 1.63,0.10,0.12,0.34,0.56,0.67,1.28,0.39,0.35,0.51,0.46,0.51,0.52,0.57,1.08,1.17
-1.58 0.20 1.68,0.10,0.13,0.31,0.53,0.67,1.26,0.39,0.36,0.53,0.45,0.51,0.48,0.58,1.04,1.16
-1.61 0.19 1.68,0.10,0.14,0.33,0.56,0.68,1.25,0.40,0.37,0.52,0.48,0.51,0.50,0.58,1.07,1.15
-1.64 0.17 1.56,0.10,0.14,0.53,0.56,0.72,1.31,0.41,0.37,0.52,0.47,0.52,0.48,0.58,1.08,1.15
-1.67 0.16 1.63,0.11,0.13,0.32,0.55,0.71,1.30,0.40,0.36,0.51,0.48,0.53,0.49,0.59,1.06,1.16
-1.70 0.15 1.59,0.10,0.13,0.54,0.56,0.70,1.32,0.41,0.37,0.51,0.46,0.52,0.48,0.58,1.08,1.15
-1.73 0.14 1.65,0.10,0.15,0.32,0.56,0.67,1.28,0.40,0.37,0.51,0.48,0.52,0.50,0.59,1.06,1.15
-1.76 0.13 1.63,0.11,0.13,0.35,0.56,0.69,-1.00,0.40,0.36,0.52,0.48,0.51,0.49,0.59,1.07,1.16
-1.79 0.12 1.68,0.11,0.14,0.33,0.56,0.69,1.26,0.38,0.38,0.52,0.45,0.56,0.51,0.58,1.06,1.15
-1.82 0.11 1.57,0.10,0.15,0.53,0.55,0.71,1.31,0.40,0.36,0.53,0.47,0.52,0.52,0.58,1.07,1.15
-1.85 0.10 1.64,0.10,0.13,0.33,0.56,0.69,1.29,0.40,0.37,0.53,0.48,0.53,0.49,0.58,1.07,1.15
-1.88 0.09 1.61,0.09,0.14,0.45,0.56,0.70,0.15,0.40,0.37,0.52,0.47,0.52,0.50,0.58,1.07,1.15
-1.91 0.08 1.64,0.09,0.12,0.33,0.56,0.68,1.28,0.40,0.37,0.52,0.47,0.50,0.47,0.58,1.07,1.15
-1.94 0.07 1.68,0.09,0.13,0.32,0.55,0.68,1.29,0.41,0.35,0.51,0.47,0.51,0.49,0.60,1.07,1.16
-1.97 0.06 1.59,0.10,0.13,0.43,0.56,0.70,1.31,0.40,0.36,0.51,0.47,0.50,0.49,0.59,1.07,1.14
-2.00 0.04 1.57,0.09,0.14,0.53,0.55,0.71,1.33,0.39,0.36,0.52,0.47,0.53,0.50,0.57,1.08,1.14
-2.02 0.03 1.68,0.10,0.14,0.33,0.56,0.67,1.25,0.38,0.37,0.51,0.48,0.52,0.49,0.57,1.05,1.16
-2.06 0.02 1.58,0.09,0.15,0.53,0.56,0.73,1.32,0.41,0.39,0.50,0.49,0.50,0.51,0.57,1.10,1.14
-2.09 0.01 1.64,0.10,0.14,0.33,0.55,0.69,1.29,0.41,0.37,0.53,0.48,0.53,0.50,0.57,1.07,1.15
