fwd d0= d5= d11=0.000
fwd d0= d5=0 d11=0.368
fwd d0= d5=0 d11=0.354
fwd d0=0 d5=0 d11=0.346
fwd d0=0 d5=0 d11=0.357
fwd d0=0 d5=0 d11=0.345
fwd d0=0 d5=0 d11=0.372
fwd d0=0 d5=0 d11=0.372
fwd d0=0 d5=0 d11=0.355
fwd d0=0 d5=0 d11=0.356
fwd d0=0 d5=0 d11=0.350
fwd d0=0 d5=0 d11=0.341
fwd d0=0 d5=0 d11=0.357
fwd d0=0 d5=0 d11=0.354
fwd d0=0 d5=0 d11=0.353
fwd d0=0 d5=0 d11=0.359
fwd d0=0 d5=0 d11=0.356
fwd d0=0 d5=0 d11=0.357
fwd d0=0 d5=0 d11=0.357
fwd d0=0 d5=0 d11=0.346
fwd d0=0 d5=0 d11=0.360
fwd d0=0 d5=0 d11=0.366
fwd d0=0 d5=0 d11=0.354
fwd d0=0 d5=0 d11=0.347
fwd d0=0 d5=0 d11=0.347
fwd d0=0 d5=0 d11=0.348
fwd d0=0 d5=0 d11=0.350
fwd d0=0 d5=0 d11=0.360
fwd d0=0 d5=0 d11=0.360
fwd d0=0 d5=0 d11=0.362
fwd d0=0 d5=0 d11=0.356
fwd d0=0 d5=0 d11=0.350
fwd d0=0 d5=0 d11=0.359
fwd d0=0 d5=0 d11=0.354
fwd d0=0 d5=0 d11=0.357
fwd d0=0 d5=0 d11=0.357
fwd d0=0 d5=0 d11=0.358
fwd d0=0 d5=0 d11=0.351
fwd d0=0 d5=0 d11=0.351
fwd d0=0 d5=0 d11=0.341
after-fwd d0=0 d5=0 d11=0.356
rest1 d0=0 d5=0 d11=0.349
rev d0=0 d5=0 d11=0.349
rev d0=0 d5=0 d11=0.361
rev d0=0 d5=0 d11=0.359
rev d0=0 d5=0 d11=0.359
rev d0=0 d5=0 d11=0.344
rev d0=0 d5=0 d11=0.344
rev d0=0 d5=0 d11=0.366
rev d0=0 d5=0 d11=0.350
rev d0=0 d5=0 d11=0.351
rev d0=0 d5=0 d11=0.350
rev d0=0 d5=0 d11=0.350
rev d0=0 d5=0 d11=0.345
rev d0=0 d5=0 d11=0.356
rev d0=0 d5=0 d11=0.356
rev d0=0 d5=0 d11=0.349
rev d0=0 d5=0 d11=0.358
rev d0=0 d5=0 d11=0.358
rev d0=0 d5=0 d11=0.348
rev d0=0 d5=0 d11=0.349
rev d0=0 d5=0 d11=0.349
rev d0=0 d5=0 d11=0.349
rev d0=0 d5=0 d11=0.361
rev d0=0 d5=0 d11=0.341
rev d0=0 d5=0 d11=0.341
rev d0=0 d5=0 d11=0.363
rev d0=0 d5=0 d11=0.368
rev d0=0 d5=0 d11=0.348
rev d0=0 d5=0 d11=0.348
rev d0=0 d5=0 d11=0.351
rev d0=0 d5=0 d11=0.364
rev d0=0 d5=0 d11=0.364
rev d0=0 d5=0 d11=0.349
rev d0=0 d5=0 d11=0.345
rev d0=0 d5=0 d11=0.372
rev d0=0 d5=0 d11=0.372
rev d0=0 d5=0 d11=0.349
rev d0=0 d5=0 d11=0.352
rev d0=0 d5=0 d11=0.358
rev d0=0 d5=0 d11=0.354
rev d0=0 d5=0 d11=0.354
after-rev d0=0 d5=0 d11=0.350
rest2 d0=0 d5=0 d11=0.344
