-43.43 -21.09 205.9 0.89,0.54,0.41,0.43,0.46,0.57,0.44,0.47,1.02,0.85,0.67,0.62,0.73,0.13,0.16,1.08
-63.34 -34.88 214.7 0.60,0.46,0.37,0.42,0.46,0.57,0.43,0.51,0.99,0.73,0.65,0.10,0.13,0.16,1.06,0.02
-84.05 -47.57 211.5 0.60,0.45,-0.33,0.35,0.45,-0.21,0.60,0.55,1.18,0.82,0.13,0.14,0.13,0.34,1.01,1.00
-106.50 -57.05 202.9 0.85,0.38,0.36,0.30,0.36,0.46,0.61,0.54,1.19,1.02,0.19,0.14,0.14,0.31,0.99,0.93
-130.45 -61.96 191.6 0.91,0.45,0.32,0.29,0.29,0.40,0.56,0.71,0.67,1.13,0.21,0.17,0.22,0.27,0.45,0.88
-154.78 -65.08 187.3 0.79,0.46,0.28,0.30,0.28,0.32,0.52,0.73,0.73,1.31,0.25,0.19,0.26,0.26,0.38,0.85
-179.28 -67.31 185.2 0.76,0.63,0.31,0.27,0.30,0.29,0.49,0.78,0.74,1.37,0.23,0.24,0.27,0.22,1.05,0.81
-203.90 -69.20 184.4 0.69,0.57,0.30,0.23,0.28,0.29,0.42,0.85,0.83,1.45,0.25,0.28,0.21,0.25,0.93,0.72
-228.63 -70.50 183.0 0.68,0.59,0.29,0.25,0.22,0.31,0.37,0.76,0.85,1.50,0.30,0.28,0.20,0.29,0.91,0.69
-253.31 -67.60 173.3 0.62,0.61,0.37,0.26,0.23,0.23,0.35,0.72,0.96,1.56,0.33,0.24,0.22,0.28,0.90,0.65
-277.57 -61.91 166.8 0.52,0.51,0.51,0.32,0.24,0.24,0.26,0.43,1.04,1.04,0.40,0.26,0.22,0.25,1.01,0.63
-300.47 -51.86 156.3 0.50,0.46,0.47,0.43,0.29,0.26,0.29,-0.28,0.85,1.03,0.43,0.23,0.22,0.30,1.32,0.64
-321.34 -37.94 146.3 0.49,0.38,0.43,0.50,0.39,0.30,0.29,0.34,0.57,1.16,1.59,0.26,0.24,0.31,1.70,0.77
-339.71 -20.75 136.9 0.46,0.38,0.35,0.39,0.44,0.40,0.32,0.38,0.57,1.07,1.18,0.28,0.22,0.29,1.56,0.85
-356.37 -1.79 131.3 0.45,0.35,0.31,0.36,0.38,0.44,0.40,0.38,0.46,1.00,1.18,0.27,0.21,0.29,1.59,1.01
-378.94 9.61 153.2 0.35,0.30,0.31,0.36,0.46,0.42,0.40,0.51,1.04,1.21,0.27,0.24,0.47,1.56,0.96,0.42
-404.16 8.02 183.6 0.28,0.36,0.44,0.45,0.39,0.43,0.65,1.30,0.56,0.21,0.25,0.57,1.57,0.74,0.38,0.33
-429.42 9.08 177.6 0.29,0.30,0.38,0.45,0.44,0.40,0.49,1.04,1.20,0.28,0.22,0.44,1.58,0.96,0.43,0.34
-454.54 11.86 173.7 0.30,0.29,0.36,0.44,0.43,0.39,0.49,1.04,1.21,0.28,0.24,0.45,1.57,0.98,0.44,0.34
-479.71 14.15 174.8 0.30,0.30,-0.31,0.45,0.44,0.40,0.50,0.98,1.19,0.28,0.23,0.37,1.55,1.09,0.46,0.35
-504.82 11.24 186.6 0.28,0.38,0.46,0.45,0.41,0.46,0.67,1.28,0.57,0.22,0.25,0.84,1.63,0.71,0.38,0.33
-529.94 8.47 186.3 0.28,0.37,0.48,0.46,0.39,0.46,0.68,1.26,0.45,0.21,0.25,0.83,1.61,0.69,0.36,0.29
-555.12 6.27 185.0 0.28,0.37,0.45,0.45,0.42,0.43,0.66,1.29,0.57,0.22,0.24,0.57,1.59,0.74,0.36,0.32
-605.62 5.16 178.8 0.30,0.28,0.37,0.44,0.43,0.39,0.51,0.97,1.17,0.28,0.23,0.35,1.54,0.96,0.47,0.34
-630.83 7.02 175.8 0.29,0.29,0.35,0.46,0.43,0.38,0.50,0.88,1.20,0.28,0.23,0.32,1.55,1.26,0.48,0.34
-656.00 9.26 174.9 0.28,0.27,-1.00,0.46,0.45,0.38,0.49,0.90,1.18,0.28,0.22,0.33,1.54,1.23,0.47,0.34
-681.27 8.56 181.6 0.29,0.36,0.46,0.45,0.39,0.42,0.66,1.30,0.55,0.23,0.25,0.59,1.60,0.73,0.38,0.33
-706.45 6.40 184.9 0.28,0.37,0.45,0.43,0.40,0.44,0.67,1.29,0.58,0.21,0.25,0.58,1.62,0.73,0.36,0.32
-731.68 8.03 176.3 0.31,0.32,0.36,0.43,0.40,0.39,0.50,1.07,1.23,0.28,0.22,0.49,1.56,0.93,0.40,0.33
-756.94 8.82 178.2 0.31,0.29,0.36,0.44,0.43,0.39,0.49,1.02,1.20,0.28,0.22,0.45,1.59,0.98,0.41,0.34
-782.17 10.37 176.5 0.30,0.29,0.38,0.45,0.43,0.39,0.51,1.03,1.20,0.26,0.23,0.44,1.57,0.96,0.43,0.34
-807.24 7.15 187.3 0.27,0.38,0.49,0.45,0.40,0.47,0.69,1.24,0.31,0.23,0.25,1.07,1.58,0.67,0.37,0.30
-832.50 8.08 177.9 0.30,0.33,0.37,0.46,0.44,0.40,0.51,1.09,1.25,0.25,0.24,0.49,1.55,0.81,0.40,0.33
-857.61 5.17 186.6 0.27,0.35,0.46,0.45,0.41,0.46,0.69,1.25,0.33,0.20,0.27,1.07,1.60,0.69,0.35,0.31
-882.88 5.88 178.4 0.29,0.32,0.39,0.44,0.43,0.39,0.54,1.09,1.25,0.26,0.24,0.50,1.50,0.75,0.39,0.34
-907.99 8.79 173.4 0.29,0.32,0.36,0.45,0.43,0.39,0.51,1.05,1.23,0.27,0.23,0.47,1.59,0.96,0.41,0.34
-932.75 13.87 168.4 0.31,0.28,0.36,0.48,0.45,0.40,0.48,0.76,1.32,0.28,0.23,0.27,1.28,1.33,0.58,0.35
