0.00 0.00 0.0 | 1.15,0.00 0.76,-0.31 0.80,-0.80 0.32,-0.78 0.00,-0.75 -0.28,-0.68 -0.68,-0.68 -0.36,-0.15 -0.38,-0.00 -0.35,0.15 -0.22,0.22 -0.11,0.27 -0.00,0.30 0.11,0.27 0.29,0.29 0.59,0.24
-0.11 -0.00 180.8 | -1.18,-0.02 -0.80,0.28 -0.90,0.77 -0.45,0.80 -0.11,0.27 0.17,0.70 0.59,0.72 0.34,0.19 0.34,0.01 0.13,-0.23 0.02,-0.29 -0.10,-0.30 -0.21,-0.25 -0.38,-0.28 -0.67,-0.24
-0.21 0.00 173.5 | -1.19,0.11 -0.82,0.34 -0.88,0.84 -0.45,0.82 -0.13,0.72 0.17,0.70 0.58,0.63 0.36,0.17 0.32,-0.06 0.26,-0.26 0.03,-0.30 -0.12,-0.33 -0.24,-0.27 -0.36,-0.27 -0.46,-0.20 -0.76,-0.16
-0.33 -0.00 179.1 | -1.22,0.01 -0.92,0.26 -1.10,0.80 -0.64,0.79 -0.31,0.75 -0.16,0.38 0.38,0.68 1.22,0.61 0.29,-0.01 0.25,-0.25 -0.03,-0.31 -0.22,-0.27 -0.33,-0.25 -0.44,-0.27 -0.54,-0.21 -0.94,-0.24
-0.44 0.01 175.1 | -1.24,0.08 -1.15,0.37 -0.73,0.35 -0.69,0.80 -0.38,0.80 -0.12,0.64 -0.16,0.25 1.20,0.53 0.25,-0.05 0.11,-0.28 -0.16,-0.33 -0.36,-0.27 -0.47,-0.29 -0.55,-0.19 -0.71,-0.21 -1.06,-0.19
-0.54 0.01 177.1 | -1.27,0.05 -1.23,0.34 -0.85,0.35 -0.82,0.80 -0.50,0.81 -0.20,0.74 -0.17,0.35 1.16,0.62 0.24,-0.03 0.01,-0.25 -0.28,-0.28 -0.44,-0.29 -0.55,-0.20 -0.66,-0.24 -0.78,-0.21 -1.11,-0.19
-0.65 0.01 180.0 | -1.30,0.01 -1.31,0.28 -0.93,0.29 -0.77,0.31 -0.65,0.81 -0.34,0.74 -0.26,0.39 1.10,0.73 0.24,0.01 -0.04,-0.24 -0.39,-0.25 -0.56,-0.20 -0.65,-0.25 -0.75,-0.24 -0.88,-0.23 -1.17,-0.21
-0.76 0.01 176.9 | -1.33,0.04 -1.30,0.27 -1.00,0.28 -0.87,0.33 -0.72,0.78 -0.41,0.74 -0.29,0.43 1.04,0.64 0.22,-0.04 -0.11,-0.30 -0.48,-0.30 -0.68,-0.22 -0.77,-0.25 -0.86,-0.21 -1.04,-0.24 -1.23,-0.16
-0.87 0.00 181.4 | -1.36,-0.01 -1.37,0.20 -1.20,0.32 -1.00,0.29 -0.88,0.32 -0.57,0.79 -0.28,0.63 0.98,0.82 0.20,0.03 -0.19,-0.26 -0.66,-0.20 -0.77,-0.23 -0.87,-0.22 -0.97,-0.25 -1.13,-0.26 -1.38,-0.22
-0.95 -0.04 210.1 | -1.36,-0.28 -1.30,-0.09 -1.20,0.02 -1.20,0.15 -1.40,0.73 -1.05,0.69 -0.39,2.06 -0.29,0.83 -0.47,0.24 -0.60,0.00 -0.71,-0.11 -0.78,-0.35 -0.91,-0.40 -1.05,-0.42 -1.23,-0.40
-0.91 0.01 228.5 | -1.21,-0.34 -1.16,-0.12 -1.27,-0.02 -1.74,0.29 -1.58,0.60 -1.82,1.88 -0.98,1.11 -0.73,0.51 -0.72,0.22 -0.70,0.11 -0.71,0.02 -0.66,-0.08 -0.64,-0.23 -0.69,-0.44 -0.88,-0.42 -1.07,-0.47
-0.86 0.08 229.4 | -1.16,-0.27 -1.21,-0.10 -1.23,0.05 -1.75,0.37 -1.40,0.55 -1.34,1.02 -0.94,1.08 -0.78,0.33 -0.70,0.26 -0.71,0.15 -0.71,0.09 -0.67,0.01 -0.61,-0.13 -0.64,-0.36 -0.82,-0.40 -1.04,-0.46
-0.88 0.02 251.7 | -0.98,-0.29 -1.09,-0.22 -1.66,-0.37 -1.60,-0.03 -2.97,0.71 -1.69,0.73 -1.11,0.48 -0.90,0.31 -0.81,0.22 -0.77,0.15 -0.65,0.14 -0.54,0.05 -0.37,-0.14 -0.54,-0.27 -0.64,-0.46 -0.84,-0.46
-0.87 0.13 266.0 | -0.90,-0.31 -1.31,-0.74 -1.57,-0.48 -2.79,-0.51 -1.95,0.20 -1.12,0.25 -1.02,0.29 -0.91,0.25 -0.86,0.24 -0.82,0.23 -0.71,0.26 -0.57,0.23 -0.38,0.09 -0.39,-0.11 -0.50,-0.31 -0.75,-0.24
-0.88 0.05 267.0 | -0.89,-0.31 -1.26,-0.77 -1.56,-0.56 -2.72,-0.60 -1.94,0.11 -1.48,0.34 -1.05,0.24 -0.95,0.26 -0.79,0.23 -0.65,0.26 -0.52,0.18 -0.43,0.03 -0.39,-0.18 -0.53,-0.33 -0.76,-0.27
-0.90 0.14 283.9 | -0.80,-0.27 -1.06,-0.90 -1.27,-0.47 -1.73,-0.47 -1.67,-0.05 -1.13,0.18 -1.02,0.21 -0.96,0.22 -0.88,0.28 -0.76,0.37 -0.60,0.36 -0.47,0.25 -0.34,0.06 -0.43,-0.14 -0.64,-0.21
-0.89 0.08 274.3 | -0.87,-0.30 -1.19,-0.82 -1.39,-0.50 -2.85,-0.91 -1.93,-0.00 -1.18,0.17 -1.09,0.24 -0.97,0.22 -0.91,0.24 -0.84,0.25 -0.70,0.30 -0.54,0.25 -0.44,0.11 -0.37,-0.10 -0.52,-0.25 -0.73,-0.25
-0.89 0.12 274.9 | -0.86,-0.29 -1.18,-0.80 -1.38,-0.46 -1.88,-0.40 -1.91,0.03 -1.13,0.19 -1.04,0.24 -0.95,0.23 -0.90,0.23 -0.85,0.26 -0.72,0.32 -0.57,0.28 -0.45,0.15 -0.37,-0.05 -0.48,-0.23 -0.71,-0.24
