0.00 0.00 256.7 1.13,0.77,0.96,1.35,1.37,0.58,0.32,0.34,0.31,-1.00,0.21,0.19,0.16,0.21,0.39,0.97
BLOB -0.04 -0.17 256.7 0.34,1.22,0.51,0.42,0.34,0.38,0.39,0.38,0.34,0.29,0.37,0.51,1.66,0.79,0.72,0.17
BLOB -0.04 -0.17 245.2 0.24,1.21,1.24,0.47,0.39,-0.35,0.42,0.42,0.36,0.33,0.31,0.45,0.67,1.71,0.66,0.80
BLOB -0.04 -0.17 243.7 0.22,1.20,1.23,0.47,0.40,0.32,0.42,0.43,0.37,0.33,0.31,0.43,0.66,1.70,0.66,0.80
BLOB -0.04 -0.17 242.2 0.23,1.21,1.25,0.46,0.39,0.30,0.43,0.42,0.36,0.31,0.32,0.45,0.66,1.71,0.66,0.81
BLOB -0.04 -0.17 246.7 0.24,1.21,1.24,0.48,0.39,0.31,0.42,0.42,0.38,0.31,0.32,0.47,0.67,1.70,0.66,0.80
BLOB -0.04 -0.17 242.1 0.23,1.21,1.23,0.48,0.39,0.32,0.43,0.42,0.37,0.32,0.31,0.44,0.66,1.71,-0.17,0.81
BLOB -0.04 -0.18 222.3 0.82,0.25,1.22,1.24,0.47,0.40,0.31,0.42,0.43,0.37,0.32,0.32,0.46,0.67,1.71,0.65
BLOB -0.04 -0.17 218.8 0.81,0.26,1.22,1.26,0.49,0.39,0.32,0.43,0.41,0.36,0.32,0.29,0.47,0.67,1.71,0.64
BLOB -0.04 -0.18 220.0 0.83,0.24,1.21,1.24,0.48,0.41,0.31,0.43,0.42,0.36,0.32,0.30,-1.00,0.66,1.68,0.62
BLOB -0.04 -0.18 216.9 0.82,0.23,0.09,1.23,0.48,0.39,0.31,0.42,0.42,0.37,0.31,0.31,0.44,0.67,1.70,0.65
BLOB -0.04 -0.18 235.3 0.18,0.31,1.21,0.52,0.42,0.33,0.38,0.39,0.38,0.35,0.30,0.39,0.49,1.68,0.81,0.73
BLOB -0.04 -0.18 239.1 0.17,0.32,1.21,0.51,0.42,0.34,0.39,0.39,0.37,0.34,0.30,0.41,0.50,1.69,0.79,0.71
BLOB -0.04 -0.17 241.4 0.19,0.32,1.22,0.52,0.42,0.34,0.39,0.39,0.36,0.34,0.30,0.39,-0.24,0.34,0.80,0.72
BLOB -0.04 -0.17 238.4 0.18,0.32,1.21,0.53,0.42,0.34,0.37,0.40,0.36,0.33,0.31,0.40,0.50,1.68,0.81,0.71
BLOB -0.04 -0.17 238.0 0.18,0.31,1.22,0.52,0.42,0.34,0.39,0.40,0.37,0.34,0.31,0.40,0.50,1.68,0.81,0.70
BLOB -0.04 -0.18 237.5 0.18,0.32,1.21,0.51,0.42,0.34,0.38,0.39,0.37,0.34,0.30,0.40,0.49,1.68,0.82,0.72
BLOB -0.04 -0.18 242.2 0.19,0.32,1.20,0.51,0.42,0.34,0.37,0.39,0.36,0.33,0.29,0.39,0.51,1.67,0.81,0.71
BLOB -0.04 -0.17 237.6 0.18,0.32,1.22,0.50,0.41,0.33,0.38,0.40,0.36,0.35,0.29,0.40,0.50,1.67,0.81,0.71
BLOB -0.04 -0.17 239.1 0.18,0.31,1.19,0.52,0.42,0.33,0.36,0.39,0.37,0.37,0.31,0.40,0.48,1.68,0.81,0.73
BLOB -0.04 -0.17 236.4 0.18,0.32,1.22,0.50,0.40,0.34,0.38,0.39,0.37,0.35,0.31,0.39,0.49,1.69,0.80,-0.14
BLOB -0.04 -0.18 240.5 0.17,0.31,1.22,0.51,0.42,0.34,0.39,0.38,0.37,0.35,0.30,0.39,0.48,1.69,0.80,0.71
BLOB -0.04 -0.17 239.7 0.19,0.32,1.21,0.50,0.42,0.32,0.36,0.39,0.38,0.34,0.32,0.38,0.49,1.70,0.80,0.71
BLOB -0.04 -0.18 240.4 0.19,0.34,1.22,0.51,0.41,0.31,-1.00,0.40,0.36,0.34,0.28,0.39,0.50,1.70,0.80,0.73
BLOB -0.04 -0.17 241.2 0.18,0.33,1.22,0.51,0.41,0.34,0.38,0.41,0.37,0.33,0.30,0.41,0.49,1.69,0.79,0.72
BLOB -0.04 -0.17 240.9 0.19,0.30,1.22,0.51,0.42,0.34,0.38,0.39,0.37,0.34,0.31,0.40,0.49,1.69,0.81,0.71
BLOB -0.04 -0.17 239.7 0.20,0.32,1.23,0.52,0.42,0.33,0.37,0.39,0.36,0.34,0.29,0.39,0.51,1.69,0.80,0.72
BLOB -0.04 -0.18 239.3 0.18,0.31,1.22,-1.00,0.42,0.35,0.38,0.41,0.39,0.35,0.31,0.41,0.50,1.68,0.80,0.71
BLOB -0.04 -0.17 242.9 0.18,0.32,1.22,0.52,0.42,0.34,0.39,0.38,0.37,0.33,0.31,0.40,0.49,1.68,0.79,0.71
0.00 0.00 204.5 0.18,0.33,1.21,0.51,0.43,0.34,0.39,0.38,0.36,0.36,0.31,0.39,0.50,1.68,0.80,0.72
-0.91 0.07 311.9 0.65,0.53,0.88,0.80,0.43,0.28,0.28,0.31,0.42,1.12,1.04,0.48,0.27,0.24,0.33,0.70
-0.91 0.07 272.1 0.98,2.58,0.37,0.25,0.24,0.30,0.32,0.59,0.58,0.67,0.91,0.20,0.17,0.17,0.38,0.92
