T 0.0 pose=(0.00,0.00,None) f=2.83 r=0.23 l=0.25
T 1.8 pose=(0.00,0.00,None) f=2.27 r=0.24 l=0.29
T 3.4 pose=(0.00,0.00,None) f=2.90 r=0.24 l=0.23
T 4.9 pose=(0.00,0.00,None) f=1.43 r=0.27 l=0.22
T 6.7 pose=(0.00,0.00,None) f=0.96 r=0.27 l=0.23
T 8.3 pose=(0.00,0.00,None) f=0.47 r=0.34 l=0.24
T 10.3 pose=(0.00,0.00,None) f=0.33 r=0.97 l=0.85
T 11.8 pose=(0.00,0.00,None) f=0.35 r=0.98 l=3.00
ALERT 13.7 d9=tick=48088 goal=0 d0=0 d7=1
T 13.7 pose=(0.00,0.00,None) f=0.38 r=0.24 l=2.41
ALERT 14.1 d9=tick=48129 goal=0 d0=0 d7=1
ALERT 14.3 d9=tick=48143 goal=0 d0=0 d7=1
ALERT 14.7 d9=tick=48188 goal=0 d0=0 d7=1
ALERT 15.1 d9=tick=48233 goal=0 d0=0 d7=1
ALERT 15.6 d9=tick=48277 goal=0 d0=0 d7=1
T 15.6 pose=(0.00,0.00,None) f=0.38 r=0.62 l=3.00
ALERT 16.0 d9=tick=48319 goal=0 d0=0 d7=1
ALERT 16.2 d9=tick=48334 goal=0 d0=0 d7=1
ALERT 16.6 d9=tick=48374 goal=0 d0=0 d7=1
ALERT 16.7 d9=tick=48389 goal=0 d0=0 d7=1
ALERT 17.1 d9=tick=48431 goal=0 d0=0 d7=1
T 17.1 pose=(0.00,0.00,None) f=0.37 r=0.61 l=2.98
ALERT 17.6 d9=tick=48473 goal=0 d0=0 d7=1
T 18.8 pose=(0.00,0.00,None) f=0.38 r=0.61 l=3.00
ALERT 19.7 d9=tick=48684 goal=0 d0=0 d7=1
ALERT 20.1 d9=tick=48726 goal=0 d0=0 d7=1
ALERT 20.5 d9=tick=48768 goal=0 d0=0 d7=1
T 20.5 pose=(0.00,0.00,None) f=0.36 r=0.59 l=2.98
ALERT 20.7 d9=tick=48784 goal=0 d0=0 d7=1
ALERT 20.8 d9=tick=48799 goal=0 d0=0 d7=1
ALERT 21.0 d9=tick=48817 goal=0 d0=0 d7=1
ALERT 21.1 d9=tick=48833 goal=0 d0=0 d7=1
ALERT 21.6 d9=tick=48874 goal=0 d0=0 d7=1
ALERT 22.4 d9=tick=48958 goal=0 d0=0 d7=1
T 22.4 pose=(0.00,0.00,None) f=0.38 r=0.56 l=3.00
ALERT 22.5 d9=tick=48973 goal=0 d0=0 d7=1
ALERT 22.7 d9=tick=48988 goal=0 d0=0 d7=1
ALERT 23.1 d9=tick=49031 goal=0 d0=0 d7=1
ALERT 23.6 d9=tick=49073 goal=0 d0=0 d7=1
ALERT 24.0 d9=tick=49111 goal=0 d0=0 d7=1
T 24.0 pose=(0.00,0.00,None) f=0.38 r=0.98 l=3.00
ALERT 24.1 d9=tick=49126 goal=0 d0=0 d7=1
ALERT 24.6 d9=tick=49175 goal=0 d0=0 d7=1
ALERT 24.7 d9=tick=49191 goal=0 d0=0 d7=1
ALERT 25.2 d9=tick=49233 goal=0 d0=0 d7=1
T 25.6 pose=(0.00,0.00,None) f=0.39 r=0.61 l=3.00
ALERT 26.0 d9=tick=49319 goal=0 d0=0 d7=1
ALERT 26.2 d9=tick=49335 goal=0 d0=0 d7=1
ALERT 26.3 d9=tick=49351 goal=0 d0=0 d7=1
ALERT 26.8 d9=tick=49393 goal=0 d0=0 d7=1
T 27.2 pose=(0.00,0.00,None) f=0.38 r=0.58 l=2.99
ALERT 27.9 d9=tick=49510 goal=0 d0=0 d7=1
ALERT 28.3 d9=tick=49553 goal=0 d0=0 d7=1
ALERT 28.5 d9=tick=49567 goal=0 d0=0 d7=1
T 29.0 pose=(0.00,0.00,None) f=0.37 r=0.27 l=2.99
ALERT 29.1 d9=tick=49631 goal=0 d0=0 d7=1
ALERT 29.7 d9=tick=49690 goal=0 d0=0 d7=1
ALERT 29.9 d9=tick=49705 goal=0 d0=0 d7=1
ALERT 30.3 d9=tick=49746 goal=0 d0=0 d7=1
ALERT 30.7 d9=tick=49791 goal=0 d0=0 d7=1
T 30.7 pose=(0.00,0.00,None) f=0.39 r=0.58 l=2.99
ALERT 31.6 d9=tick=49877 goal=0 d0=0 d7=1
ALERT 31.7 d9=tick=49890 goal=0 d0=0 d7=1
ALERT 31.9 d9=tick=49906 goal=0 d0=0 d7=1
ALERT 32.3 d9=tick=49948 goal=0 d0=0 d7=1
T 32.3 pose=(0.00,0.00,None) f=0.37 r=0.56 l=3.00
ALERT 32.7 d9=tick=49990 goal=0 d0=0 d7=1
ALERT 33.1 d9=tick=50028 goal=0 d0=0 d7=1
ALERT 33.6 d9=tick=50075 goal=0 d0=0 d7=1
T 34.0 pose=(0.00,0.00,None) f=0.36 r=0.60 l=3.00
T 35.8 pose=(0.00,0.00,None) f=0.37 r=0.55 l=2.41
ALERT 36.4 d9=tick=50360 goal=0 d0=0 d7=1
ALERT 36.8 d9=tick=50401 goal=0 d0=0 d7=1
ALERT 37.3 d9=tick=50446 goal=0 d0=0 d7=1
ALERT 37.7 d9=tick=50488 goal=0 d0=0 d7=1
T 37.7 pose=(0.00,0.00,None) f=0.40 r=0.25 l=2.45
ALERT 38.1 d9=tick=50530 goal=0 d0=0 d7=1
ALERT 38.5 d9=tick=50572 goal=0 d0=0 d7=1
ALERT 39.0 d9=tick=50613 goal=0 d0=0 d7=1
ALERT 39.4 d9=tick=50659 goal=0 d0=0 d7=1
T 39.4 pose=(0.00,0.00,None) f=0.39 r=0.57 l=2.99
ALERT 39.6 d9=tick=50676 goal=0 d0=0 d7=1
ALERT 40.0 d9=tick=50714 goal=0 d0=0 d7=1
ALERT 40.4 d9=tick=50760 goal=0 d0=0 d7=1
ALERT 40.9 d9=tick=50803 goal=0 d0=0 d7=1
T 41.3 pose=(0.00,0.00,None) f=0.39 r=0.57 l=3.00
ALERT 41.5 d9=tick=50863 goal=0 d0=0 d7=1
ALERT 41.6 d9=tick=50879 goal=0 d0=0 d7=1
ALERT 42.0 d9=tick=50922 goal=0 d0=0 d7=1
ALERT 42.2 d9=tick=50938 goal=0 d0=0 d7=1
ALERT 42.4 d9=tick=50954 goal=0 d0=0 d7=1
ALERT 42.8 d9=tick=50996 goal=0 d0=0 d7=1
ALERT 43.2 d9=tick=51039 goal=0 d0=0 d7=1
T 43.2 pose=(0.00,0.00,None) f=0.38 r=0.97 l=2.99
ALERT 43.4 d9=tick=51056 goal=0 d0=0 d7=1
ALERT 43.8 d9=tick=51098 goal=0 d0=0 d7=1
ALERT 44.2 d9=tick=51140 goal=0 d0=0 d7=1
ALERT 44.6 d9=tick=51182 goal=0 d0=0 d7=1
ALERT 45.1 d9=tick=51224 goal=0 d0=0 d7=1
T 45.1 pose=(0.00,0.00,None) f=0.38 r=0.61 l=2.99
ALERT 45.5 d9=tick=51268 goal=0 d0=0 d7=1
ALERT 45.9 d9=tick=51309 goal=0 d0=0 d7=1
ALERT 46.1 d9=tick=51326 goal=0 d0=0 d7=1
ALERT 46.5 d9=tick=51368 goal=0 d0=0 d7=1
ALERT 46.6 d9=tick=51382 goal=0 d0=0 d7=1
T 46.6 pose=(0.00,0.00,None) f=0.37 r=0.60 l=3.00
ALERT 46.8 d9=tick=51398 goal=0 d0=0 d7=1
ALERT 47.2 d9=tick=51439 goal=0 d0=0 d7=1
ALERT 47.7 d9=tick=51484 goal=0 d0=0 d7=1
ALERT 48.1 d9=tick=51526 goal=0 d0=0 d7=1
ALERT 48.5 d9=tick=51569 goal=0 d0=0 d7=1
T 48.5 pose=(0.00,0.00,None) f=0.38 r=0.58 l=3.00
ALERT 48.9 d9=tick=51611 goal=0 d0=0 d7=1
ALERT 49.4 d9=tick=51652 goal=0 d0=0 d7=1
ALERT 49.5 d9=tick=51669 goal=0 d0=0 d7=1
ALERT 49.9 d9=tick=51708 goal=0 d0=0 d7=1
ALERT 50.4 d9=tick=51753 goal=0 d0=0 d7=1
T 50.4 pose=(0.00,0.00,None) f=0.37 r=0.58 l=3.00
ALERT 50.5 d9=tick=51769 goal=0 d0=0 d7=1
ALERT 50.9 d9=tick=51810 goal=0 d0=0 d7=1
ALERT 51.4 d9=tick=51855 goal=0 d0=0 d7=1
