0.0 POS x=0.00 y=0.00 h=101.4 f=0.17 r=0.30 st=turnleft d0=0 d7=0 d6=0.131 d9=tick=25948 goal=0
0.0 FLAG d0=0
0.0 FLAG d7=0
2.1 POS x=0.00 y=0.00 h=235.3 f=0.17 r=0.28 st=turnleft d0=0 d7=0 d6=0.149 d9=tick=26156 goal=0
4.3 POS x=0.00 y=0.00 h=24.8 f=0.25 r=0.28 st=turnleft d0=0 d7=0 d6=0.148 d9=tick=26375 goal=0
6.3 POS x=0.04 y=0.16 h=156.4 f=0.23 r=0.37 st=turnleft d0=0 d7=0 d6=0.145 d9=tick=26573 goal=0
8.4 POS x=0.04 y=0.16 h=256.1 f=0.14 r=0.31 st=turnleft d0=0 d7=0 d6=0.149 d9=tick=26784 goal=0
10.5 POS x=0.04 y=0.16 h=37.7 f=0.34 r=0.27 st=turnleft d0=0 d7=0 d6=0.149 d9=tick=26995 goal=0
12.6 POS x=0.07 y=0.37 h=179.6 f=0.21 r=0.58 st=turnleft d0=0 d7=0 d6=0.146 d9=tick=27204 goal=0
14.7 POS x=0.07 y=0.37 h=311.2 f=0.20 r=0.33 st=turnleft d0=0 d7=0 d6=0.144 d9=tick=27412 goal=0
16.9 POS x=0.18 y=0.62 h=98.9 f=0.19 r=0.31 st=turnleft d0=0 d7=0 d6=0.130 d9=tick=27637 goal=0
19.0 POS x=0.18 y=0.62 h=204.3 f=0.21 r=0.55 st=turnleft d0=0 d7=0 d6=0.145 d9=tick=27850 goal=0
21.1 POS x=0.18 y=0.62 h=319.0 f=0.17 r=0.30 st=turnleft d0=0 d7=0 d6=0.158 d9=tick=28052 goal=0
23.1 POS x=0.20 y=0.78 h=96.9 f=0.29 r=0.31 st=follow d0=0 d7=0 d6=0.150 d9=tick=28255 goal=0
25.1 POS x=0.20 y=0.78 h=171.9 f=0.21 r=0.54 st=turnleft d0=0 d7=0 d6=0.151 d9=tick=28453 goal=0
27.1 POS x=0.20 y=0.78 h=306.8 f=0.24 r=0.33 st=turnleft d0=0 d7=0 d6=0.158 d9=tick=28654 goal=0
29.3 POS x=0.26 y=1.00 h=100.7 f=0.15 r=0.33 st=turnleft d0=0 d7=0 d6=0.143 d9=tick=28881 goal=0
31.6 POS x=0.26 y=1.00 h=198.7 f=0.22 r=0.55 st=turnleft d0=0 d7=0 d6=0.146 d9=tick=29105 goal=0
33.7 POS x=0.26 y=1.00 h=341.7 f=0.20 r=0.34 st=turnleft d0=0 d7=0 d6=0.143 d9=tick=29318 goal=0
35.8 POS x=0.30 y=1.22 h=121.3 f=0.15 r=0.30 st=turnleft d0=0 d7=0 d6=0.141 d9=tick=29525 goal=0
37.8 POS x=0.30 y=1.22 h=220.2 f=0.23 r=0.42 st=turnleft d0=0 d7=0 d6=0.151 d9=tick=29722 goal=0
0.0 POS x=0.00 y=0.00 h=None d0=0 d6=None d7=None None
0.0 POS x=0.00 y=0.00 h=None d0=0 d6=None d7=None None
2.0 POS x=0.00 y=0.00 h=252.5 d0=0 d6=0.123 d7=0 tick=39359 goal=0
4.1 POS x=0.00 y=0.00 h=252.5 d0=0 d6=0.138 d7=0 tick=39568 goal=0
6.2 POS x=0.00 y=0.00 h=253.9 d0=0 d6=0.139 d7=0 tick=39775 goal=0
8.2 POS x=0.00 y=0.00 h=254.9 d0=0 d6=0.133 d7=0 tick=39974 goal=0
10.2 POS x=0.00 y=0.00 h=251.4 d0=0 d6=0.150 d7=0 tick=40182 goal=0
12.2 POS x=0.00 y=0.00 h=252.1 d0=0 d6=0.135 d7=0 tick=40383 goal=0
14.5 POS x=0.00 y=0.00 h=248.9 d0=0 d6=0.146 d7=0 tick=40609 goal=0
16.6 POS x=0.00 y=0.00 h=252.3 d0=0 d6=0.139 d7=0 tick=40824 goal=0
18.9 POS x=0.00 y=0.00 h=250.2 d0=0 d6=0.163 d7=0 tick=41048 goal=0
21.0 POS x=-0.00 y=-0.00 h=251.1 d0=0 d6=0.127 d7=0 tick=41256 goal=0
23.0 POS x=-0.00 y=-0.00 h=253.0 d0=0 d6=0.144 d7=0 tick=41462 goal=0
25.2 POS x=-0.00 y=-0.00 h=253.6 d0=0 d6=0.153 d7=0 tick=41680 goal=0
27.8 POS x=-0.01 y=-0.01 h=244.2 d0=0 d6=0.131 d7=0 tick=41940 goal=0
30.2 POS x=-0.01 y=-0.02 h=241.3 d0=0 d6=0.138 d7=0 tick=42176 goal=0
32.2 POS x=-0.02 y=-0.03 h=238.9 d0=0 d6=0.138 d7=0 tick=42376 goal=0
34.2 POS x=-0.20 y=-0.10 h=187.0 d0=0 d6=0.136 d7=0 tick=42581 goal=0
36.3 POS x=-0.29 y=-0.10 h=149.9 d0=0 d6=0.124 d7=0 tick=42793 goal=0
38.7 POS x=-0.29 y=-0.04 h=64.9 d0=0 d6=0.146 d7=0 tick=43028 goal=0
40.7 POS x=-0.10 y=0.25 h=40.2 d0=0 d6=0.138 d7=0 tick=43231 goal=0
42.8 POS x=0.14 y=0.45 h=40.7 d0=0 d6=0.131 d7=0 tick=43443 goal=0
44.9 POS x=0.26 y=0.69 h=157.4 d0=0 d6=0.135 d7=0 tick=43646 goal=0
47.1 POS x=0.08 y=0.59 h=217.8 d0=0 d6=0.138 d7=0 tick=43866 goal=0
49.4 POS x=-0.13 y=0.45 h=174.8 d0=0 d6=0.148 d7=0 tick=44097 goal=0
51.5 POS x=-0.13 y=0.45 h=59.6 d0=0 d6=0.118 d7=0 tick=44309 goal=0
53.7 POS x=-0.01 y=0.44 h=356.2 d0=0 d6=0.122 d7=0 tick=44526 goal=0
0.0 POS x=0.00 y=0.00 h=None d0=0 d6=None d7=None None
2.0 POS x=0.00 y=0.00 h=135.7 d0=0 d6=0.128 d7=0 tick=49360 goal=0
4.0 POS x=0.00 y=0.00 h=134.9 d0=0 d6=0.129 d7=0 tick=49560 goal=0
6.0 POS x=0.00 y=0.00 h=131.7 d0=0 d6=0.132 d7=0 tick=49762 goal=0
8.0 POS x=0.00 y=0.00 h=132.2 d0=0 d6=0.142 d7=0 tick=49959 goal=0
10.0 POS x=0.00 y=0.00 h=133.1 d0=0 d6=0.121 d7=0 tick=50161 goal=0
12.0 POS x=0.00 y=0.00 h=133.5 d0=0 d6=0.133 d7=0 tick=50362 goal=0
14.1 POS x=0.00 y=0.00 h=133.5 d0=0 d6=0.137 d7=0 tick=50571 goal=0
16.1 POS x=0.00 y=0.00 h=131.9 d0=0 d6=0.129 d7=0 tick=50772 goal=0
18.3 POS x=0.00 y=0.00 h=134.9 d0=0 d6=0.121 d7=0 tick=50990 goal=0
20.3 POS x=0.00 y=0.00 h=132.6 d0=0 d6=0.126 d7=0 tick=51189 goal=0
22.4 POS x=0.00 y=0.00 h=132.3 d0=0 d6=0.125 d7=0 tick=51402 goal=0
24.4 POS x=0.00 y=0.00 h=131.9 d0=0 d6=0.129 d7=0 tick=51602 goal=0
26.6 POS x=0.00 y=0.00 h=132.2 d0=0 d6=0.113 d7=0 tick=51821 goal=0
28.6 POS x=0.00 y=0.00 h=136.1 d0=0 d6=0.113 d7=0 tick=52022 goal=0
30.7 POS x=0.00 y=0.00 h=135.2 d0=0 d6=0.124 d7=0 tick=52231 goal=0
32.7 POS x=0.00 y=0.00 h=135.1 d0=0 d6=0.120 d7=0 tick=52432 goal=0
35.0 POS x=0.00 y=0.00 h=133.1 d0=0 d6=0.114 d7=0 tick=52666 goal=0
37.1 POS x=0.00 y=0.00 h=130.9 d0=0 d6=0.117 d7=0 tick=52875 goal=0
39.1 POS x=0.00 y=0.00 h=132.8 d0=0 d6=0.120 d7=0 tick=53074 goal=0
41.2 POS x=0.00 y=0.00 h=131.6 d0=0 d6=0.104 d7=0 tick=53281 goal=0
43.2 POS x=0.00 y=0.00 h=129.7 d0=0 d6=0.116 d7=0 tick=53480 goal=0
45.2 POS x=0.00 y=0.00 h=130.1 d0=0 d6=0.107 d7=0 tick=53678 goal=0
47.2 POS x=0.00 y=0.00 h=131.8 d0=0 d6=0.115 d7=0 tick=53878 goal=0
49.4 POS x=0.00 y=0.00 h=130.4 d0=0 d6=0.106 d7=0 tick=54105 goal=0
0.0 POS x=0.00 y=0.00 h=None d0=None d6=0.125 d7=None None
2.0 POS x=0.02 y=0.39 h=87.5 d0=0 d6=0.133 d7=0 tick=59914 goal=0
4.0 POS x=0.03 y=0.78 h=89.0 d0=0 d6=0.134 d7=0 tick=60114 goal=0
6.0 POS x=0.04 y=1.17 h=88.8 d0=0 d6=0.129 d7=0 tick=60312 goal=0
8.0 POS x=0.06 y=1.56 h=89.2 d0=1 d6=0.141 d7=0 tick=60517 goal=0
10.0 POS x=0.07 y=1.96 h=86.5 d0=1 d6=0.132 d7=0 tick=60717 goal=0
12.1 POS x=0.08 y=2.35 h=91.2 d0=1 d6=0.140 d7=0 tick=60920 goal=0
14.1 POS x=0.09 y=2.74 h=87.0 d0=1 d6=0.145 d7=0 tick=61122 goal=0
16.1 POS x=0.10 y=3.14 h=89.2 d0=0 d6=0.131 d7=0 tick=61324 goal=0
18.1 POS x=0.12 y=3.53 h=87.9 d0=0 d6=0.148 d7=0 tick=61525 goal=0
20.1 POS x=0.13 y=3.93 h=87.3 d0=1 d6=0.132 d7=0 tick=61724 goal=0
22.1 POS x=0.14 y=4.32 h=88.8 d0=0 d6=0.137 d7=0 tick=61927 goal=0
24.1 POS x=0.15 y=4.71 h=87.5 d0=0 d6=0.146 d7=0 tick=62127 goal=0
26.2 POS x=0.16 y=5.10 h=88.6 d0=1 d6=0.163 d7=0 tick=62328 goal=0
28.2 POS x=0.18 y=5.50 h=88.6 d0=1 d6=0.153 d7=0 tick=62532 goal=0
30.2 POS x=0.19 y=5.89 h=85.7 d0=0 d6=0.140 d7=0 tick=62731 goal=0
32.2 POS x=0.20 y=6.28 h=86.7 d0=0 d6=0.140 d7=0 tick=62933 goal=0
34.2 POS x=0.21 y=6.68 h=90.3 d0=0 d6=0.143 d7=0 tick=63132 goal=0
36.2 POS x=0.22 y=7.07 h=88.5 d0=0 d6=0.170 d7=0 tick=63336 goal=0
38.2 POS x=0.23 y=7.47 h=88.0 d0=1 d6=0.150 d7=0 tick=63539 goal=0
40.3 POS x=0.24 y=7.86 h=89.6 d0=0 d6=0.159 d7=0 tick=63740 goal=0
42.3 POS x=0.26 y=8.25 h=86.2 d0=0 d6=0.143 d7=0 tick=63942 goal=0
44.3 POS x=0.27 y=8.64 h=89.1 d0=0 d6=0.157 d7=0 tick=64141 goal=0
46.3 POS x=0.28 y=9.04 h=88.9 d0=1 d6=0.151 d7=0 tick=64341 goal=0
48.3 POS x=0.29 y=9.43 h=92.2 d0=0 d6=0.147 d7=0 tick=64544 goal=0
50.3 POS x=0.31 y=9.82 h=84.8 d0=0 d6=0.155 d7=0 tick=64746 goal=0
