[1.66, 0.32, 31.9, [0.484, 0.608, 1.4, 0.686, 0.231, 0.105, 0.104, 0.101, 0.144, 0.151, 0.349, 2.996, 0.846, 0.555, 0.396, 0.363]]
[1.93, 0.39, 13.7, [0.241, 0.247, 0.348, 0.946, 1.351, 0.537, 0.287, 0.328, 0.287, 0.364, 0.56, 1.803, 0.867, 0.288, 0.207, 0.183]]
[3.93, 0.06, 345.8, [0.106, 0.115, 0.135, 0.178, 0.489, 1.33, 0.646, 0.464, 0.421, 0.404, 0.538, 0.813, 2.773, 0.258, 0.119, 0.087]]
[5.75, -0.35, 343.8, [0.09, 0.097, 0.126, 0.162, 0.455, 1.289, 0.813, 0.478, 0.418, 0.409, 0.485, 0.759, 2.109, 0.537, 0.139, 0.097]]
[7.01, -0.68, 341.0, [0.087, 0.097, 0.12, 0.137, 0.239, 1.356, 0.863, 0.49, 0.404, 0.414, 0.447, 0.636, 1.538, 0.56, 0.122, 0.118]]
[8.05, -0.98, 345.1, [0.093, 0.111, 0.121, 0.16, 0.227, -1.0, 0.895, 0.488, 0.408, 0.393, 0.463, 0.63, 1.324, 0.626, 0.125, 0.105]]
[9.07, -1.39, 337.9, [0.091, 0.113, 0.125, 0.152, 0.232, 1.34, 0.868, 0.499, 0.405, 0.394, 0.45, 0.645, 1.331, 0.608, 0.117, 0.108]]
[11.06, -1.61, 354.5, [0.081, 0.116, 0.138, 0.193, 0.521, 1.365, 0.632, 0.44, 0.446, 0.445, 0.614, 1.015, 3.0, 0.18, 0.11, 0.103]]
[13.05, -1.83, 354.4, [0.096, 0.098, 0.103, 0.188, 0.496, 1.355, 0.627, 0.465, 0.44, 0.429, 0.623, 0.87, 3.0, 0.215, 0.088, 0.085]]
[15.03, -2.16, 352.7, [0.103, 0.104, 0.123, 0.181, 0.48, 1.353, 0.654, 0.468, 0.446, 0.422, 0.604, 0.825, 2.991, 0.221, 0.104, 0.069]]
[17.03, -2.3, 354.7, [0.102, 0.11, 0.131, 0.16, 0.49, 1.353, 0.638, 0.459, 0.436, 0.427, 0.611, 0.866, 2.996, 0.199, 0.105, 0.085]]
[19.01, -2.56, 353.3, [0.099, 0.108, 0.131, 0.179, 0.499, 1.347, 0.619, 0.436, 0.425, 0.418, 0.618, 0.881, 3.0, 0.21, 0.119, 0.069]]
[20.99, -2.87, 346.2, [0.079, 0.113, 0.13, 0.159, 0.495, 1.369, 0.641, 0.457, 0.438, 0.417, 0.602, 0.821, 2.993, 0.22, 0.104, 0.085]]
[22.91, -3.24, 347.9, [0.107, 0.097, 0.149, 0.16, 0.458, 1.275, 0.658, 0.458, 0.436, 0.399, 0.52, 0.773, 2.19, 0.255, 0.132, 0.087]]
[24.72, -3.72, 346.2, [0.08, 0.123, 0.121, 0.154, 0.468, 1.271, 0.833, 0.479, 0.426, 0.415, 0.483, 0.761, 2.103, 0.539, 0.118, 0.096]]
[25.47, -4.08, 330.3, [0.083, 0.091, 0.121, 0.159, 0.229, 1.361, 0.871, 0.501, 0.411, 0.397, 0.44, 0.651, 1.367, 0.594, 0.138, 0.095]]
[26.73, -4.48, 333.9, [0.144, 0.142, 0.15, 0.223, 0.48, 1.242, 0.614, 0.414, 0.349, 0.362, 0.414, 0.614, 1.561, 0.642, 0.19, 0.147]]
[28.7, -4.87, 344.3, [0.097, 0.121, 0.137, 0.15, 0.495, 1.339, 0.614, 0.473, -1.0, 0.425, 0.617, 0.897, 3.0, 0.175, 0.112, 0.105]]
[26.69, -4.79, 354.8, [0.091, 0.121, 0.118, 0.165, -1.0, 1.366, 0.64, 0.437, 0.438, 0.423, 0.654, 1.05, 3.0, 0.167, 0.113, 0.098]]
[25.64, -5.08, 192.6, [0.415, 0.634, 0.879, 3.0, 0.211, 0.097, 0.082, 0.086, -1.0, 0.138, 0.181, 0.485, 1.335, 0.615, 0.449, 0.455]]
[24.48, -4.87, 166.4, [0.095, 0.129, 0.141, 0.331, 0.87, 1.555, 0.581, 0.406, 0.374, 0.423, 0.477, 0.723, 1.42, 0.248, 0.233, 0.101]]
[23.33, -4.58, 164.2, [0.08, 0.097, 0.121, 0.182, 0.385, 2.8, 0.757, 0.525, 0.362, 0.409, 0.465, 0.675, 1.427, 0.608, 0.23, 0.118]]
[22.21, -4.23, 164.3, [0.091, 0.104, 0.128, 0.171, 0.373, 2.992, 0.839, 0.531, 0.389, 0.398, 0.44, 0.65, 1.406, 0.664, 0.227, 0.145]]
[25.46, -5.1, 182.0, [0.146, 0.2, 0.221, 0.509, 2.179, 0.686, 0.45, 0.423, 0.362, 0.418, 0.617, 1.608, 0.435, 0.211, 0.136, 0.131]]
[25.46, -5.1, 269.5, [2.867, 1.071, 0.547, 0.46, 0.367, 0.406, 0.579, 0.9, 1.57, 0.199, 0.135, 0.081, 0.103, 0.145, 0.195, 0.219]]
[25.12, -5.12, 177.2, [0.128, 0.174, 0.181, 0.228, 2.875, 0.982, 0.512, -1.0, 0.39, 0.418, 0.617, 1.163, 1.6, 0.211, -1.0, 0.095]]
[24.32, -5.04, 168.2, [0.159, 0.218, -1.0, 0.299, 2.89, 1.061, 0.488, 0.431, 0.344, 0.354, 0.494, 0.829, 1.629, 0.407, 0.22, 0.149]]
[22.98, -4.73, 163.7, [0.157, 0.211, 0.211, 0.233, 0.655, 2.072, 0.649, 0.429, 0.379, 0.328, 0.403, 0.596, 1.611, 0.781, 0.252, 0.169]]
[22.45, -4.52, 160.2, [0.091, 0.123, 0.154, 0.198, 0.231, 2.88, 0.966, 0.497, 0.468, 0.373, 0.435, 0.602, 1.206, 0.839, 0.188, 0.106]]
[21.7, -4.45, 169.9, [0.17, 0.202, 0.219, 0.38, 2.841, 1.058, 0.486, 0.415, 0.358, 0.337, 0.5, 0.837, 1.625, 0.427, 0.203, 0.151]]
[20.9, -4.21, 163.3, [0.15, 0.198, 0.226, 0.219, 0.64, 1.796, 0.663, 0.424, 0.385, 0.358, 0.396, 0.611, 1.621, 0.611, 0.253, 0.148]]
[20.46, -4.2, 174.6, [0.165, 0.215, 0.2, 0.409, 2.877, 0.963, 0.462, 0.414, 0.336, 0.359, 0.533, 0.883, 1.601, 0.303, 0.193, 0.122]]
[19.63, -4.01, 161.0, [0.173, 0.19, 0.188, 0.223, -1.0, -1.0, 0.624, -1.0, 0.394, 0.329, 0.451, 0.757, 1.642, 0.434, 0.208, 0.138]]
[19.07, -4.0, 173.5, [0.183, 0.189, 0.175, 0.417, 2.823, 0.872, 0.441, 0.435, 0.36, 0.376, 0.557, 0.928, 1.638, 0.274, 0.184, 0.144]]
[18.16, -3.83, 162.6, [0.149, 0.172, 0.169, 0.185, 0.866, 1.35, 0.625, 0.43, 0.383, 0.36, 0.466, 0.846, 1.664, 0.441, 0.176, 0.144]]
[17.83, -3.58, 141.1, [0.142, 0.155, 0.188, 0.152, 0.194, 0.6, 2.032, 0.661, 0.432, 0.428, 0.375, 0.425, 0.653, 1.657, 0.458, 0.201]]
[17.32, -3.33, 153.4, [0.094, 0.116, 0.143, 0.171, 0.16, 2.882, 1.02, 0.551, 0.477, 0.421, 0.431, 0.636, 1.202, 0.878, 0.177, 0.095]]
[16.26, -2.9, 151.7, [0.168, 0.182, 0.173, 0.155, 0.59, 2.517, 0.649, 0.432, 0.418, -1.0, 0.408, 0.639, 1.609, 0.512, 0.23, 0.145]]
[15.57, -2.75, 162.8, [0.156, 0.165, 0.152, 0.159, 0.603, 1.759, 0.649, 0.432, 0.438, 0.375, 0.438, 0.68, 1.653, 0.477, 0.16, 0.141]]
[15.42, -2.75, 178.0, [0.174, 0.161, 0.129, 0.321, 2.805, 0.948, 0.521, 0.441, 0.392, 0.423, 0.588, 0.953, 1.683, 0.266, 0.14, 0.136]]
[15.42, -2.75, 178.5, [0.096, 0.102, 0.12, 0.1, 0.599, 1.299, 0.677, 0.477, 0.478, 0.447, 0.667, 0.981, 1.668, 0.136, 0.098, 0.099]]
[15.42, -2.75, 178.1, [0.091, 0.084, 0.105, 0.093, 0.599, 1.319, 0.671, 0.486, 0.484, 0.441, 0.63, 0.987, 1.657, 0.104, 0.101, 0.095]]
[15.42, -2.75, 177.2, [0.122, 0.083, 0.093, 0.087, 0.593, 1.304, 0.677, 0.487, 0.483, 0.462, -1.0, 0.993, 1.673, 0.121, 0.112, 0.086]]
[15.42, -2.75, 177.0, [0.101, 0.105, 0.093, 0.095, 0.587, 1.319, 0.667, 0.477, 0.489, 0.467, 0.641, 0.979, 1.649, 0.114, 0.107, 0.102]]
[15.41, -2.75, 179.4, [0.092, 0.091, 0.105, 0.094, 0.582, 1.318, 0.657, 0.477, 0.483, 0.456, 0.63, 0.971, 1.671, 0.12, 0.094, 0.091]]
[15.42, -2.75, 177.0, [0.119, 0.097, -1.0, 0.118, 0.582, 1.341, 0.667, 0.469, 0.473, 0.461, 0.662, 0.99, 1.65, 0.113, 0.09, 0.087]]
[15.41, -2.75, 177.0, [0.096, 0.103, 0.107, 0.094, 0.594, 1.347, 0.668, 0.492, 0.476, 0.451, 0.661, 0.975, 1.64, 0.084, 0.088, 0.114]]
[15.41, -2.75, 177.4, [0.097, 0.088, -1.0, 0.086, 0.597, 1.351, 0.675, 0.491, 0.504, 0.446, 0.638, 0.982, 1.635, 0.115, 0.106, 0.089]]
[15.41, -2.75, 180.2, [0.118, 0.104, 0.108, 0.08, 0.604, 1.318, 0.652, 0.492, 0.484, 0.46, 0.654, 0.996, 1.673, 0.098, 0.085, 0.095]]
[15.41, -2.75, 181.5, [0.102, 0.097, 0.108, 0.09, 0.618, 1.29, 0.686, 0.491, 0.476, 0.469, 0.674, 1.005, 0.518, 0.114, 0.105, -1.0]]
[14.68, -2.5, 158.2, [0.079, 0.101, 0.1, 0.093, 0.104, 2.854, 0.967, 0.552, 0.502, 0.449, 0.501, 0.738, 1.723, 0.267, 0.083, 0.084]]
[14.12, -2.38, 163.2, [0.14, 0.115, 0.127, 0.127, 0.548, 1.515, 0.622, 0.435, 0.457, 0.406, 0.479, 0.777, 1.693, 0.299, 0.153, 0.161]]
[13.66, -2.32, 166.4, [0.146, 0.126, 0.101, 0.145, 2.764, 1.255, 0.623, 0.455, 0.448, 0.423, 0.555, 0.952, 1.645, 0.24, 0.135, 0.151]]
[12.75, -2.04, 155.3, [0.145, 0.14, 0.125, 0.141, 0.373, 2.508, 0.811, 0.473, 0.433, 0.39, 0.432, 0.675, 1.725, 0.504, 0.166, 0.141]]
[12.19, -1.93, 162.4, [0.127, 0.142, 0.125, 0.132, 0.593, 1.331, 0.635, 0.435, 0.441, 0.401, 0.507, 0.941, 1.717, 0.275, 0.134, 0.15]]
[12.19, -1.93, 230.6, [0.109, 0.32, 2.764, 0.965, 0.551, 0.432, 0.409, 0.417, 0.64, 1.224, 0.952, 0.171, 0.147, 0.147, 0.15, 0.127]]
[12.12, -1.94, 186.6, [0.134, 0.127, 0.105, 0.328, 2.799, -1.0, 0.521, 0.437, 0.42, 0.422, 0.665, 1.328, 0.536, 0.179, 0.144, 0.145]]
[13.13, -1.77, 8.6, [0.418, 0.505, 0.765, 1.666, 0.269, 0.13, 0.115, 0.13, 0.097, 0.102, 0.105, 0.334, 2.076, 0.847, 0.478, 0.485]]
[13.57, -1.75, 4.1, [0.151, 0.141, 0.211, 0.539, 1.601, 0.67, 0.416, 0.346, 0.404, 0.353, 0.55, 1.211, 1.332, 0.272, 0.257, 0.203]]
