t=25 fit src=(48,-2445) k=2375 dist=4771 sm=0.498
t=37 fit src=(-167,-2578) k=2507 dist=2974 sm=0.807
t=49 fit src=(-260,-2637) k=2567 dist=2864 sm=0.874
t=61 fit src=(-300,-2643) k=2583 dist=2864 sm=0.839
t=74 fit src=(-50,-2655) k=2525 dist=2829 sm=0.875
t=86 fit src=(-309,-2787) k=2688 dist=3494 sm=0.831
t=99 fit src=(-617,-3032) k=2894 dist=3418 sm=0.638
t=112 fit src=(-3438,-1882) k=3610 dist=4472 sm=0.632
t=124 fit src=(-1356,1494) k=1759 dist=2281 sm=0.732
t=137 fit src=(-269,729) k=696 dist=721 sm=0.907
t=150 fit src=(-270,733) k=693 dist=722 sm=0.920
t=162 fit src=(-243,697) k=655 dist=721 sm=0.891
